topic_id,top_words,top_probabilities
0,loss@184.09 frag@140.06 frag@215.03 frag@98.05 loss@87.08 frag@171.04 frag@113.07 loss@186.15 frag@218.08 loss@201.14 loss@390.12 frag@179.09 loss@247.14 frag@254.15 loss@147.1 loss@146.18 frag@236.11 frag@151.05 frag@205.02 frag@169.06,0.2489948571 0.1970402449 0.07062082738 0.01910589263 0.01771033742 0.00789319817 0.0053295088 0.00515589444 0.004277568776 0.004242295865 0.003916902933 0.003291533794 0.003077493748 0.002905869856 0.002585441573 0.00254500634 0.002389248228 0.002336561447 0.002292986028 0.0021040719
1,frag@146.1 loss@251.1 loss@275.05 frag@174.09 loss@275.09 loss@343.11 frag@131.07 frag@129.07 frag@134.1 loss@230.14 frag@132.08 loss@211.1 loss@253.05 loss@182.02 loss@166.06 frag@145.09 loss@267.11 loss@340.12 loss@486.11 loss@308.15,0.2915053964 0.0668560788 0.04494733363 0.02024790272 0.01842628792 0.01307296101 0.01211444195 0.01096186787 0.007968273945 0.007169095334 0.006317833439 0.005316528957 0.004368432797 0.004238227382 0.003843317041 0.00378543674 0.003490279894 0.00337268156 0.003021850251 0.002937900834
2,frag@162.08 frag@176.09 frag@202.11 loss@175.09 loss@250.17 frag@188.09 frag@216.12 frag@148.09 frag@190.11 loss@164.09 loss@177.1 loss@267.15 loss@207.08 frag@147.07 frag@59.06 loss@189.1 loss@204.11 loss@212.11 loss@231.14 loss@164.11,0.1074676663 0.09088561684 0.05352350324 0.04447835311 0.02731168456 0.02689127065 0.02044131979 0.009041977115 0.007514600176 0.006990510039 0.005343715195 0.005247934721 0.004886146169 0.00433191983 0.004210718442 0.003909155726 0.00386466668 0.003695189254 0.003679391695 0.00366034871
3,frag@157.01 frag@150.0 loss@144.0 loss@189.97 loss@264.99 frag@127.0 loss@148.05 loss@43.01 loss@120.04 frag@97.01 loss@281.95 frag@194.09 loss@167.04 frag@139.0 loss@244.95 loss@98.02 frag@193.04 loss@138.04 loss@202.02 loss@245.07,0.200948149 0.03170683235 0.02139343508 0.0167063158 0.01626083814 0.009038989432 0.008724874817 0.007982303388 0.005866890308 0.005683642812 0.005456868093 0.005294265226 0.005254153628 0.005126032047 0.003750273725 0.003560647136 0.0035180056 0.003134239232 0.003010604763 0.002981207799
4,loss@260.15 loss@239.16 loss@288.15 loss@245.05 loss@215.97 frag@122.06 frag@189.14 frag@113.02 frag@124.11 frag@84.04 frag@208.04 frag@191.15 frag@210.15 frag@114.05 frag@138.05 frag@60.06 frag@239.04 frag@146.12 frag@58.03 frag@84.08,0.07775651664 0.0602218248 0.05036906898 0.04261668026 0.0150331445 0.01331062336 0.009176135063 0.00847985968 0.008336246945 0.007375218906 0.007084995043 0.00504991971 0.004483876284 0.004427163396 0.004268465564 0.003862698562 0.003710956778 0.003529851558 0.003268235829 0.003201286774
5,frag@177.05 loss@341.03 loss@239.1 loss@624.23 frag@139.02 frag@323.13 frag@162.03 frag@145.03 frag@176.04 loss@553.2 loss@253.12 loss@147.08 frag@339.09 frag@220.13 loss@567.22 loss@351.13 loss@462.17 loss@94.04 frag@310.1 loss@146.07,0.215175122 0.0495021902 0.005624910817 0.003878431628 0.00329357665 0.003212635871 0.002740557771 0.00269076298 0.00255375728 0.002527279314 0.002498922171 0.002495699795 0.002340491163 0.00216932781 0.002106140601 0.002045282396 0.001816508011 0.001771165524 0.001721062581 0.001695367391
6,frag@175.1 loss@214.13 frag@201.11 frag@163.1 loss@243.16 frag@299.15 frag@191.13 frag@177.11 frag@130.97 frag@162.08 loss@164.11 frag@165.11 loss@139.1 loss@227.13 frag@214.13 loss@175.09 frag@197.17 loss@447.16 loss@138.1 loss@118.06,0.1384318024 0.1029095724 0.04697492346 0.03823133931 0.0314899236 0.01464870851 0.007913396694 0.006102648098 0.005525257904 0.004887412302 0.0048275562 0.004415123258 0.003358926624 0.003146281233 0.003115349915 0.002480698749 0.002433278598 0.00237101363 0.002327925526 0.002242252463
7,frag@139.03 loss@183.05 loss@211.04 loss@223.04 loss@372.05 frag@154.05 frag@240.06 frag@125.02 frag@101.02 loss@195.05 frag@96.06 frag@104.02 frag@85.01 frag@168.02 loss@164.06 frag@126.05 frag@174.03 loss@257.02 loss@194.08 loss@160.03,0.2126472443 0.1580875218 0.08777148277 0.02624139562 0.01077713259 0.009484273382 0.00603531627 0.00529576093 0.005125008523 0.005121984053 0.00475909235 0.004728911445 0.004163962789 0.004082172643 0.003246796783 0.003150921315 0.002985180588 0.002803486073 0.002749015344 0.002715200651
8,loss@252.1 frag@195.05 frag@199.06 loss@357.12 frag@152.05 frag@223.06 frag@140.05 frag@255.08 frag@123.08 loss@303.11 frag@201.09 frag@134.1 frag@165.05 frag@141.08 frag@171.02 frag@73.06 loss@197.1 frag@298.07 frag@173.06 frag@122.04,0.2175804824 0.05668830499 0.05621789768 0.03007967025 0.009077271447 0.004413041286 0.003798109479 0.003645802848 0.003386640688 0.003363325493 0.003305560676 0.003154821461 0.003149648895 0.002624708693 0.002530421829 0.00237549888 0.002300429624 0.002232038649 0.002056663157 0.001988595817
9,loss@146.07 frag@132.1 loss@160.02 frag@201.95 loss@176.0 frag@176.11 frag@164.02 frag@269.1 frag@240.12 frag@40.9 frag@319.07 frag@177.05 frag@104.06 frag@224.04 frag@103.06 frag@57.03 frag@111.04 frag@159.08 frag@332.06 frag@130.08,0.278763622 0.07348389179 0.05323585123 0.05248012394 0.01786065847 0.01107238512 0.007959374227 0.005471621174 0.004727591295 0.004562759306 0.003632235574 0.003581566038 0.003565937979 0.003257633885 0.003202814842 0.003155039623 0.003032591427 0.002956580836 0.002886008704 0.002702391939
10,frag@149.02 loss@289.13 loss@167.14 frag@149.03 loss@154.12 loss@350.13 loss@148.02 frag@103.02 loss@294.0 loss@292.01 loss@263.11 loss@255.06 loss@166.03 loss@168.08 loss@252.06 loss@180.14 loss@200.13 loss@184.18 loss@354.09 loss@419.12,0.3146240413 0.04494704306 0.03530693799 0.03067061119 0.01671808213 0.01663764752 0.01175468322 0.007470424753 0.005979442969 0.005770744756 0.005229901057 0.00498954067 0.004673349205 0.003615398891 0.003184018657 0.003142473288 0.002999133896 0.002814333187 0.002700531157 0.002636136254
