topic_id,top_words,top_probabilities
0,frag@161.11 frag@160.1 frag@120.07 loss@107.06 loss@259.1 loss@281.1 loss@321.18 loss@202.11 loss@243.14 loss@269.15 loss@264.06 loss@300.07 loss@275.07 loss@211.12 loss@216.06 loss@333.11 loss@212.1 loss@182.01 loss@246.94 loss@299.13,0.3531827331 0.09269064665 0.07157661766 0.06057672575 0.04658179358 0.02416205034 0.0117285382 0.01054462139 0.00839142222 0.008313813247 0.008095466532 0.007795400918 0.007685141638 0.007391299587 0.007388036698 0.006523931865 0.006506130099 0.006246551871 0.005761798471 0.004695217125
1,frag@124.05 frag@194.09 frag@191.11 loss@110.11 loss@233.0 loss@156.11 loss@138.14 loss@178.15 frag@252.12 frag@152.09 loss@314.17 loss@236.19 loss@355.14 loss@174.14 loss@253.18 loss@235.01 loss@247.14 loss@193.0 frag@206.01 frag@355.18,0.2156057954 0.08745832741 0.0532864891 0.04912268743 0.04370279238 0.03160722926 0.02399449982 0.02009016462 0.01491693407 0.01276463084 0.01106434781 0.01028180867 0.009390369058 0.008719693869 0.008701003157 0.008582280949 0.007813808508 0.007657511625 0.00748634804 0.007407284342
2,loss@55.04 frag@74.01 loss@232.04 loss@81.06 loss@273.12 loss@1.01 loss@293.06 loss@259.08 loss@167.08 loss@247.02 frag@236.11 frag@131.04 frag@172.03 frag@317.09 loss@158.09 frag@306.11 loss@208.06 loss@451.17 frag@199.02 loss@247.08,0.1221729293 0.1063351408 0.08433941007 0.07089043409 0.05959237739 0.04151843861 0.02892641164 0.02258530259 0.01578379981 0.01484751422 0.01327589992 0.01276806276 0.01192342024 0.009194113314 0.007439977024 0.006556771696 0.006378514692 0.005781183951 0.005620640703 0.005197493825
3,frag@109.09 loss@252.13 frag@204.15 loss@275.11 frag@210.11 loss@123.09 frag@138.0 frag@269.13 frag@74.02 frag@304.12 loss@114.09 loss@282.06 loss@139.11 loss@284.14 loss@158.11 frag@194.11 loss@211.17 frag@194.1 frag@113.08 loss@304.1,0.09132403135 0.04533115774 0.02404071018 0.01510352083 0.01431971788 0.01211582869 0.01128584985 0.010890387 0.01020294894 0.01014175452 0.01009684056 0.009153097868 0.008356322534 0.008262025192 0.008146285079 0.008087084629 0.007173154969 0.007114876527 0.007086395286 0.006998600904
4,frag@182.08 loss@119.05 frag@280.11 loss@96.04 frag@210.08 frag@320.11 frag@215.1 loss@112.1 frag@214.13 frag@236.08 frag@210.1 loss@156.07 frag@223.12 loss@347.18 loss@388.12 loss@205.05 frag@310.17 frag@196.1 loss@118.05 frag@164.05,0.2673852444 0.1366743594 0.1170737073 0.08291687816 0.0780576244 0.04868318141 0.01953695342 0.01409055293 0.007239477709 0.005275618751 0.005064840894 0.004521445371 0.004004284739 0.003961779643 0.003787140362 0.00331032346 0.003275525291 0.003221143736 0.002835725667 0.002577399369
5,loss@257.08 loss@236.07 frag@147.08 loss@259.12 loss@196.03 loss@189.01 loss@247.11 loss@199.06 loss@247.08 loss@180.11 loss@227.05 loss@275.06 loss@328.12 frag@123.08 loss@328.07 frag@129.07 frag@91.05 loss@212.05 loss@298.12 frag@119.09,0.09482105821 0.06200720742 0.04788247868 0.03569186106 0.0350699462 0.0291110985 0.02224833891 0.01655823924 0.01633542404 0.0138819376 0.0131828608 0.01314869523 0.01314327959 0.01027643122 0.009593991563 0.009500802495 0.008882558905 0.00870799832 0.008559709415 0.008185517974
6,loss@223.05 loss@206.05 frag@122.08 frag@137.07 loss@194.07 loss@224.04 loss@192.07 frag@121.08 loss@172.03 loss@187.04 frag@191.12 loss@224.03 loss@175.04 frag@209.11 frag@127.05 loss@221.04 loss@212.06 frag@109.04 loss@201.04 frag@155.04,0.09166286141 0.06228792295 0.02325905487 0.02291953936 0.01912321895 0.01735239476 0.01677443646 0.01630283892 0.01624044031 0.01609898917 0.01568844356 0.01451579016 0.01444846019 0.0134741785 0.01299273595 0.01188533008 0.01097898558 0.01077328809 0.01053185761 0.0103912456
7,frag@165.07 frag@167.09 frag@88.08 loss@87.07 loss@167.11 loss@115.1 frag@166.08 loss@117.12 frag@167.07 frag@181.1 frag@152.06 loss@158.11 frag@181.06 loss@151.1 loss@170.14 loss@197.12 frag@195.08 loss@131.09 frag@204.07 loss@130.11,0.08077049255 0.06400144845 0.05565879121 0.04788853601 0.03358411044 0.02765231393 0.02390806749 0.02325719967 0.02294021286 0.02239884622 0.02222326584 0.02145428397 0.01682352833 0.01603318751 0.01543804817 0.014928733 0.01337964274 0.01198368333 0.01107211784 0.01106584724
8,frag@183.15 frag@275.11 loss@174.02 loss@216.98 frag@111.07 frag@134.03 loss@190.98 frag@158.96 frag@262.13 frag@262.04 loss@235.02 frag@186.98 loss@145.01 frag@273.17 loss@244.99 frag@228.04 loss@241.0 loss@292.14 frag@204.03 loss@287.02,0.02782467008 0.02422154695 0.01168969739 0.01110798679 0.01044320036 0.01009393297 0.009981969371 0.008861144073 0.008626704104 0.008611587808 0.007729306351 0.007135587279 0.007016262971 0.006830775645 0.006283294875 0.005978228059 0.005626366008 0.005236508325 0.00489400886 0.004780360963
9,loss@104.06 loss@227.11 loss@228.11 loss@264.06 loss@248.12 loss@211.12 loss@214.09 loss@258.11 loss@225.14 loss@188.1 loss@189.08 loss@194.1 loss@199.08 loss@183.16 loss@278.09 loss@213.1 loss@215.05 loss@211.08 loss@146.04 loss@193.04,0.2926746309 0.1262567341 0.07119335979 0.04909070209 0.01093911566 0.007336188108 0.007155557163 0.00643897336 0.005904842168 0.005660328548 0.005638287403 0.00502717495 0.004926462658 0.004748258274 0.004615562502 0.004493117798 0.004413858987 0.004290102981 0.004242937546 0.00421727635
