topic_id,top_words,top_probabilities
0,loss@201.15 loss@283.05 frag@323.09 loss@172.13 loss@289.08 loss@325.04 frag@225.12 loss@195.15 loss@260.2 loss@236.03 frag@269.15 frag@334.17 loss@226.18 frag@237.14 loss@315.09 loss@266.04 frag@295.03 frag@270.03 loss@347.03 frag@294.05,0.04330645502 0.02198392898 0.01908806898 0.01822076552 0.01546585746 0.01358535513 0.01079963148 0.009842404164 0.009385545738 0.009240282699 0.007967874408 0.006509586703 0.006358837709 0.006123314146 0.006059965584 0.005484787282 0.005473868921 0.004985659383 0.004315920174 0.004055678844
1,frag@124.05 loss@182.14 frag@212.95 loss@113.03 loss@236.19 loss@243.0 loss@356.07 frag@261.96 frag@263.1 loss@138.14 loss@292.08 frag@201.02 frag@349.12 loss@174.14 loss@309.21 loss@295.05 loss@202.99 frag@224.07 loss@275.04 frag@254.04,0.3175667524 0.1769061238 0.1251508147 0.103710115 0.06775037199 0.04813814908 0.004244971089 0.00395691162 0.003725617193 0.003113489598 0.002715248149 0.002640618943 0.002113266615 0.00206967257 0.001815439784 0.001803699764 0.001741290558 0.001718082 0.001622726908 0.001590457861
2,frag@109.04 frag@110.99 frag@97.04 frag@127.05 loss@208.13 loss@194.12 loss@180.07 frag@149.08 loss@153.09 loss@209.12 loss@196.1 loss@205.07 loss@192.07 loss@211.07 loss@206.12 loss@194.05 loss@237.12 loss@290.07 loss@181.09 frag@166.1,0.2443220466 0.09265383333 0.03327277675 0.02788900398 0.02453633025 0.02408974431 0.02281166986 0.02244300209 0.02099189907 0.02063712478 0.01822851598 0.01691332646 0.01641786471 0.01526245475 0.01290813927 0.0123743359 0.01140370965 0.01108626556 0.01077168901 0.01073149592
3,frag@250.07 loss@312.12 frag@200.04 frag@203.11 loss@256.08 loss@138.14 frag@201.02 frag@253.06 loss@261.13 frag@182.98 loss@161.12 frag@139.06 frag@109.09 loss@330.05 loss@245.16 frag@207.11 loss@212.08 loss@259.14 loss@221.01 frag@119.02,0.08399710059 0.0680173561 0.06754488498 0.01791149564 0.01666838489 0.01549864002 0.0141978357 0.01341187954 0.01270019636 0.01248487737 0.01218996849 0.01064769085 0.009030746296 0.007153425366 0.006617906969 0.006304735318 0.006038109772 0.00554283103 0.005260960665 0.005023204256
4,frag@94.05 loss@130.05 frag@198.98 loss@224.98 loss@281.06 loss@256.03 frag@151.09 frag@180.01 loss@250.02 loss@243.01 frag@93.04 loss@163.97 frag@95.06 frag@178.1 loss@299.07 frag@227.13 loss@188.99 loss@293.07 frag@243.04 frag@267.11,0.1857513934 0.0701919347 0.04890018329 0.02573754825 0.02110532857 0.02078123391 0.01427179575 0.01393588632 0.01361316815 0.013149051 0.01244604029 0.01211744919 0.009409432299 0.008983151056 0.006866667885 0.006684521213 0.00660582725 0.006128894165 0.006032492034 0.0056992881
5,frag@105.07 frag@135.08 frag@79.05 frag@123.08 loss@219.11 frag@133.06 frag@147.08 loss@211.06 loss@268.09 loss@204.12 loss@231.07 loss@192.06 loss@222.11 loss@210.05 loss@214.0 loss@207.09 loss@248.09 loss@231.1 loss@219.09 loss@245.08,0.2598910332 0.04928477854 0.03830224648 0.02745241299 0.0263325274 0.02536793612 0.02216026373 0.02165835723 0.01360465679 0.01292660553 0.01213806123 0.01165569387 0.009788129479 0.009655475616 0.009056391194 0.009025093168 0.008874586783 0.008066190407 0.007976597175 0.007356329821
6,frag@42.03 loss@244.05 loss@179.02 loss@206.05 loss@215.07 frag@54.03 loss@210.02 loss@163.05 loss@333.11 loss@178.09 loss@230.08 loss@222.02 loss@223.04 loss@232.0 loss@299.13 frag@56.05 loss@258.07 loss@210.06 loss@215.05 loss@282.08,0.430303216 0.06181867421 0.05296463519 0.04574632272 0.0365613699 0.02330235951 0.01239951234 0.01197478548 0.01130839717 0.01022303943 0.009007486515 0.008579551242 0.006911966018 0.006678702775 0.006607506424 0.006242862437 0.005930612329 0.005649980623 0.005581840407 0.004364006221
7,frag@180.08 loss@124.06 loss@151.1 frag@152.06 frag@201.08 loss@182.1 frag@165.07 loss@194.0 loss@230.06 loss@117.12 loss@60.08 frag@167.09 frag@287.1 loss@136.08 loss@304.08 loss@97.03 frag@167.07 frag@209.07 loss@125.08 frag@329.11,0.2164218724 0.1914756894 0.1838553995 0.1515954435 0.08128307015 0.0597348921 0.02588263713 0.007656478789 0.006632268429 0.005678714719 0.004637683742 0.004331619013 0.002965174848 0.002249142155 0.002072862582 0.002047890797 0.001617064932 0.00157478929 0.001441823551 0.001419254811
8,frag@250.09 frag@260.11 frag@187.03 loss@216.98 loss@142.12 loss@377.17 frag@205.07 loss@80.96 loss@86.05 loss@123.09 frag@267.13 loss@156.15 frag@134.03 loss@120.08 frag@224.08 frag@219.15 frag@263.07 frag@265.06 loss@207.15 frag@273.17,0.08432164043 0.02552033961 0.0239979066 0.01510045025 0.01063407306 0.01055854466 0.01043339912 0.006863268092 0.006386151072 0.005997609347 0.00596674718 0.005956368987 0.00564614404 0.005331668071 0.00527830096 0.005160161294 0.005119769834 0.005078620277 0.004746232182 0.004653981421
9,frag@188.07 frag@132.08 frag@160.08 frag@158.06 loss@233.07 loss@291.07 loss@187.1 frag@130.06 frag@118.06 frag@130.07 frag@159.09 frag@146.06 loss@293.09 loss@228.11 loss@185.01 frag@176.07 loss@253.06 loss@146.04 frag@148.04 loss@200.1,0.107074067 0.04928731173 0.03723201901 0.0363121815 0.02800337039 0.02252854593 0.0215366371 0.01960714161 0.0170641169 0.01447998546 0.01305498183 0.01300477888 0.0130043719 0.01228598226 0.01222890336 0.01220015157 0.01063691359 0.01039019134 0.008721625432 0.008183854632
