stage,seed,k,true_topics,formulation,implementation_class,nll,true_beta_cosine,true_theta_cosine,top_motif_accuracy,planted_motifs_recovered_cosine_ge_0_50,median_effective_topics,median_exact_support,active_topics_gt_0_005,unique_top1_topics,mean_nearest_beta_cosine,maximum_beta_cosine,catastrophic_duplicate
multi_seed,11,36,18,channel-balanced ETM + 1.5-entmax,ChannelBalancedETM,6.618254540086217,0.25600099563598633,0.4126360996077132,0.375,2,1.9362463774246264,3.0,6,5,0.9237328767776489,0.9950918555259705,False
multi_seed,11,36,18,channel-balanced ETM + softmax,ChannelBalancedETM,6.473332550526928,0.31136155128479004,0.49684555271654496,0.475,3,3.247845948201836,36.0,8,7,0.8863229751586914,0.9939395189285278,False
multi_seed,11,36,18,channel-balanced ETM + contextual evidence + softmax,ContextualSparseETM,6.264837789452519,0.4473995566368103,0.7079313889900549,0.7,8,3.3203773105556182,36.0,13,12,0.7731801867485046,0.9927887320518494,False
multi_seed,11,36,18,Contextual Sparse ETM,ContextualSparseETM,6.273801661111527,0.49752315878868103,0.7692402950116349,0.7625,10,1.9693231281873613,4.0,14,14,0.7412050366401672,0.9936928749084473,False
multi_seed,23,36,18,channel-balanced ETM + 1.5-entmax,ChannelBalancedETM,6.489796722991791,0.2815817594528198,0.4772724062154614,0.4125,4,1.9650032527522645,3.0,6,6,0.9164206385612488,0.9954333305358887,False
multi_seed,23,36,18,channel-balanced ETM + softmax,ChannelBalancedETM,6.426710756433899,0.3105216324329376,0.5039217803904027,0.49375,5,3.9045797905323862,36.0,8,7,0.8688919544219971,0.9944061040878296,False
multi_seed,23,36,18,channel-balanced ETM + contextual evidence + softmax,ContextualSparseETM,6.184198997532035,0.4615558087825775,0.7150521889417363,0.6875,10,2.9255722881252266,36.0,13,11,0.7723801136016846,0.9946529865264893,False
multi_seed,23,36,18,Contextual Sparse ETM,ContextualSparseETM,6.290266712180932,0.42109718918800354,0.7250044859362819,0.7125,7,2.0009643856463133,4.0,12,11,0.7823255658149719,0.9946570992469788,False
multi_seed,37,36,18,channel-balanced ETM + 1.5-entmax,ChannelBalancedETM,6.686608692123001,0.2379148304462433,0.31153627692825975,0.2,2,1.8637951410005833,2.0,4,4,0.9360401630401611,0.9953965544700623,False
multi_seed,37,36,18,channel-balanced ETM + softmax,ChannelBalancedETM,6.512884852183015,0.29370394349098206,0.4597940329280103,0.425,3,3.6066118243268135,36.0,8,6,0.9029768705368042,0.994678258895874,False
multi_seed,37,36,18,channel-balanced ETM + contextual evidence + softmax,ContextualSparseETM,6.288959068650367,0.41928398609161377,0.6741661056464605,0.6375,8,3.5587304250493705,36.0,13,11,0.7862207293510437,0.9933747053146362,False
multi_seed,37,36,18,Contextual Sparse ETM,ContextualSparseETM,6.2968098497999305,0.47514569759368896,0.7662907772619666,0.74375,7,2.029006194071459,4.0,17,14,0.7137176394462585,0.9933749437332153,False
