epoch,topic_model_loss,ecr_loss,mean_sinkhorn_iterations,maximum_sinkhorn_iterations,mean_final_checked_residual,maximum_final_checked_residual,seconds
1,7078.614282761177,84.37595205933508,54.64963503649635,201,0.0004883710397515755,0.004973745439201593,245.49939654197078
2,6684.205612739507,38.71756237614764,83.11678832116789,101,0.0020813665630628974,0.004907566588371992,412.23177579196636
3,6465.099787579836,28.633353114998254,101.0,101,0.0033178532608261293,0.0041339583694934845,486.75141345802695
4,6319.345606894389,26.38592196555033,130.1970802919708,151,0.0034239513707775486,0.004999649710953236,632.1243308329722
5,6198.723308479699,25.134116012684622,151.0,151,0.003516177740287933,0.003944254945963621,716.1372536249692
6,6109.598607863823,24.72885960209979,151.0,151,0.004253470104350878,0.004653464071452618,688.2290654160315
7,6022.432310675183,24.598217247176343,156.83941605839416,201,0.004610611696856735,0.004995249677449465,729.8605952080106
8,5954.169636747263,24.670192398294045,201.0,201,0.003904264634407132,0.004160781390964985,910.1050843329867
9,5880.179790858805,24.96865041412576,201.0,201,0.004315911530496648,0.004546893760561943,989.2066460839706
10,5827.86791457573,25.31325205225144,201.0,201,0.0044748070649802685,0.004680350888520479,950.7921353329439
11,5767.480589929289,26.131658136409566,201.0,201,0.004399360116761532,0.0047826399095356464,946.8830749579938
12,5726.4386119981755,26.791330685580736,201.0,201,0.0046913639921015195,0.004991078749299049,917.0918376670452
13,5683.1359845460765,27.411082873379225,210.12408759124088,251,0.004681041205886507,0.004984111525118351,967.932010624907
14,5670.343689410356,28.344796855954357,229.46715328467153,251,0.004476158757333773,0.00498486403375864,1118.3184628749732
15,5615.776509751368,28.760402331387038,251.0,251,0.004271747707559244,0.004581043496727943,1209.3916036670562
16,5590.250128307482,29.748400611598996,251.0,251,0.004417975232630533,0.004705158062279224,1177.1602103749756
17,5549.8133375627285,30.142546813853464,260.8540145985401,301,0.0045583511220060125,0.004999184515327215,1230.1052650000202
18,5540.484795563412,30.642848759672066,279.1021897810219,301,0.0045491112871979275,0.00499819265678525,1317.098923292011
19,5507.065140995666,31.464960529856437,301.7299270072993,351,0.004680209511034462,0.004998986609280109,1418.7540494590066
20,5490.66183850365,32.121837643811304,338.59124087591243,401,0.004817413132175477,0.0049980515614151955,1585.9734445830109
21,5468.578484973768,33.12584449601,721.07299270073,951,0.004979663797022,0.004999764263629913,3321.497983917012
