topic_id,top_words,top_probabilities
0,frag@270.08 loss@242.01 frag@136.94 loss@298.14 loss@236.03 frag@174.12 frag@193.02 loss@73.0 frag@152.97 loss@325.04 loss@262.03 frag@251.11 frag@363.18 loss@332.19 loss@370.11 loss@387.17 loss@260.2 frag@146.11 loss@353.17 frag@73.08,0.1423705369 0.03704361245 0.0358530134 0.02945186757 0.02902325429 0.01403073873 0.01397289243 0.01081985701 0.009876057506 0.008265106007 0.007758093998 0.007702359464 0.007309548091 0.007107606623 0.006783134304 0.005953473039 0.005938219838 0.005332659464 0.005235764664 0.005181397311
1,frag@228.1 frag@253.08 loss@234.01 frag@169.07 loss@332.16 loss@290.18 frag@237.13 frag@233.05 frag@168.1 loss@419.21 frag@153.09 loss@378.15 frag@296.16 frag@256.13 frag@247.12 frag@239.11 frag@197.98 frag@273.16 loss@197.18 loss@358.16,0.04949650913 0.04531982169 0.04012640566 0.02036290243 0.01693571545 0.01640095003 0.01481027342 0.0112969717 0.01025032718 0.008403606713 0.008290642872 0.008110530674 0.007657513954 0.006836901419 0.006445998792 0.006393200718 0.006374358665 0.00608613994 0.006045357324 0.005744502414
2,frag@218.08 loss@129.05 loss@89.04 loss@55.04 loss@224.16 loss@142.07 loss@115.05 frag@317.09 loss@156.06 frag@74.01 loss@81.06 loss@97.08 frag@297.12 loss@75.03 loss@243.99 loss@116.08 loss@58.08 loss@59.02 loss@89.05 loss@28.03,0.4126640856 0.1147966757 0.1037595198 0.03834122792 0.03593364358 0.02251088247 0.01913958602 0.01156717166 0.01005842909 0.009193421341 0.005245527253 0.004718599841 0.004366393667 0.004069076385 0.003937247675 0.003635591595 0.003469555639 0.003063022858 0.002913109027 0.002830678131
3,frag@137.03 frag@239.1 loss@302.09 loss@170.1 loss@308.09 frag@117.05 frag@214.07 loss@252.04 loss@320.12 frag@274.12 frag@243.05 frag@327.18 frag@58.03 loss@268.06 frag@318.16 frag@213.03 loss@373.15 frag@163.0 frag@252.15 frag@122.04,0.09657571465 0.0509794578 0.03032370098 0.01742611267 0.01739438064 0.01430635899 0.01412266493 0.01299346983 0.01164838206 0.01106266957 0.01096702646 0.009517211467 0.009489423595 0.008787504397 0.008768276311 0.008091577329 0.007450401317 0.006766241975 0.005696611479 0.00553953601
4,frag@192.09 frag@200.05 frag@279.08 frag@208.06 loss@119.09 loss@111.99 loss@74.06 loss@126.06 loss@345.11 frag@178.13 frag@293.09 loss@321.13 loss@118.07 frag@301.15 loss@108.05 loss@118.05 frag@323.19 loss@347.18 loss@206.18 loss@75.07,0.1337951273 0.05692760274 0.04097229987 0.02070873603 0.01701262966 0.01657797769 0.01483930182 0.01401188876 0.01122722775 0.009617689066 0.009466197342 0.008630786091 0.007285838947 0.007178484462 0.006001146045 0.005717231892 0.005588690285 0.005152415019 0.005014336202 0.004587086849
5,loss@220.09 frag@220.05 frag@175.12 frag@145.08 loss@267.09 frag@132.08 loss@273.11 frag@118.06 frag@173.07 frag@146.06 loss@234.07 loss@201.08 frag@130.07 loss@285.09 frag@187.09 frag@146.08 frag@145.09 frag@147.06 loss@280.07 frag@130.06,0.1200291961 0.07107434422 0.04779229686 0.04659582675 0.04610411078 0.0299873054 0.02863248251 0.025593061 0.02393611707 0.02256540768 0.02201427519 0.01946417429 0.01182218175 0.01165574417 0.01101852953 0.008647387847 0.008432655595 0.007466168143 0.007452884689 0.006992650684
6,loss@45.02 frag@190.03 frag@57.04 loss@119.04 frag@100.02 frag@143.04 loss@174.05 loss@98.04 frag@55.03 loss@101.05 loss@231.05 frag@129.02 frag@289.11 frag@193.06 frag@68.01 loss@184.13 frag@201.02 loss@240.03 frag@134.04 frag@169.06,0.2218368798 0.1331168562 0.08590155095 0.06427077949 0.03896281868 0.03500847891 0.03472913429 0.02471791208 0.02338936552 0.0176402647 0.01451297756 0.01188679691 0.01168405358 0.01060197875 0.009406494908 0.009327868931 0.009285510518 0.008573107421 0.008112339303 0.006312548649
7,frag@203.09 frag@223.09 loss@17.03 loss@91.06 loss@98.07 loss@73.05 loss@85.05 loss@229.0 loss@100.1 loss@58.03 loss@58.04 loss@97.09 loss@110.07 loss@85.09 loss@42.02 loss@323.11 loss@155.11 loss@342.21 loss@145.02 loss@88.05,0.2352449745 0.2069912851 0.1126629114 0.04358991608 0.04069079831 0.03428881988 0.02553916536 0.02492892928 0.02157593891 0.01643710397 0.01615337469 0.009365249425 0.008724719286 0.00801891461 0.005901915021 0.005705240648 0.005589664914 0.005512475967 0.0051944484 0.004550306592
8,frag@41.04 loss@117.04 loss@156.05 loss@253.07 loss@63.03 loss@244.03 loss@138.04 loss@230.04 loss@113.01 loss@105.08 loss@265.07 loss@262.1 loss@96.06 loss@170.13 loss@286.15 loss@225.07 loss@208.01 loss@243.03 loss@128.05 loss@235.01,0.4895468056 0.3049080074 0.06389573216 0.02925309725 0.02836794965 0.008141020313 0.007506700698 0.007436486892 0.003052018117 0.002614341443 0.002519806847 0.00251540821 0.002079488244 0.001886994345 0.001818210934 0.001758548431 0.001303476514 0.00120776624 0.001182571868 0.001105583855
9,frag@118.06 loss@249.08 loss@185.05 loss@234.07 frag@128.05 loss@217.07 frag@146.06 loss@189.08 frag@134.06 loss@176.1 loss@195.02 frag@176.07 loss@262.06 loss@204.09 loss@193.04 loss@287.1 loss@189.03 loss@214.09 loss@160.05 loss@238.04,0.3304232359 0.07886700332 0.04570230097 0.03978060558 0.02228729241 0.02089652047 0.01763369143 0.01669855602 0.01606533863 0.0153079452 0.01345996093 0.01176688727 0.01097233966 0.01095663384 0.009875788353 0.009524137713 0.009094411507 0.008947013877 0.008809008636 0.008625521325
