theta_temperature,median_effective_topics_per_spectrum,mean_effective_topics_per_spectrum,median_max_theta,max_theta_p10,max_theta_p25,max_theta_p50,max_theta_p75,max_theta_p90,max_theta_p95,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics,top1_assignment_stability,top3_set_stability,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,sos_high_gt_0_8,sos_intermediate_0_6_to_0_8,sos_low_lt_0_6,associated_spectra,associated_molecules,gate_optimized,gate_evaluable,gate_useful,gate_mean_sos,completion_nll,completion_oov_fraction,finite_stable,gate_completion_nll,passed_all_numeric_gates
1.0,46.71972401546177,112.6892600719813,0.374052850031215,0.12355655932214626,0.21203730603313287,0.374052850031215,0.5578195441143204,0.7504417367093281,0.8522544137760248,0.31884803291334535,0.6060683980457702,0.7693494471586526,260,1.0,1.0,911,166,104,0.6298190953455753,0.6329288472145616,19,85,62,1240,1232,True,False,False,False,8.766068514314984,0.031355544236867795,True,True,False
0.8,6.5350646971293305,32.41706612729601,0.5772566905367333,0.2529506408719339,0.39243814194699345,0.5772566905367333,0.7974294944482173,0.9226629302950208,0.9638603727309922,0.6060683980457702,0.8506042684494729,0.9418873746464387,260,1.0,1.0,911,209,130,0.6205551340271735,0.6333333333333333,21,109,79,2357,2338,True,False,False,False,9.29427227956659,0.031355544236867795,True,True,False
0.6,2.1268556214528154,6.873707329052167,0.7705416568105232,0.42521398947264144,0.5606740146134191,0.7705416568105232,0.9382638968318365,0.9875262439099827,0.9962115846710802,0.8310619696580098,0.9668295191565955,0.9889431730521985,260,1.0,1.0,911,226,138,0.6238297961819828,0.6318027210884354,21,117,88,3232,3212,True,False,False,False,10.311910456810331,0.031355544236867795,True,False,False
0.5,1.7259686959853422,3.4680493130966554,0.8483478049693397,0.4916678830644252,0.631902023341307,0.8483478049693397,0.9750042484542754,0.9968756836620759,0.9993357650587888,0.8943173052198509,0.9850861403959887,0.9951144253021342,260,1.0,1.0,911,231,146,0.6264288628272753,0.6350357292980243,22,124,85,3478,3458,True,False,False,False,10.996620230426199,0.031355544236867795,True,False,False
0.4,1.4009416936626016,2.1481509150758855,0.9155145941602992,0.5389199050048062,0.7019392071167309,0.9155145941602992,0.9925055704822324,0.9995060276142951,0.9999436785963002,0.9362303934173309,0.9928002057084083,0.9984571869375161,260,1.0,1.0,911,235,147,0.6240952669012388,0.6316489361702128,22,125,88,3641,3619,True,False,False,False,11.739732473865335,0.031355544236867795,True,False,False
0.3,1.1742203000221625,1.5501445054873695,0.9674300732346889,0.5943413000791943,0.7895019793171799,0.9674300732346889,0.998832146804884,0.9999750078063756,0.9999986434991783,0.9655438416045256,0.9976857804062741,0.999742864489586,260,1.0,1.0,911,236,147,0.624394789664347,0.630655787956208,23,124,89,3755,3733,True,False,False,False,12.473171785921622,0.031355544236867795,True,False,False
0.25,1.089289912730248,1.399859634461473,0.9845843970349911,0.6282865736287503,0.8409292620998509,0.9845843970349911,0.9997227438865943,0.9999974614043136,0.9999999237958689,0.9750578554898431,0.9982000514271021,1.0,260,1.0,1.0,911,237,148,0.6260228932215932,0.630718954248366,24,124,89,3792,3770,True,False,False,False,12.825766621491185,0.031355544236867795,True,False,False
0.2,1.0335713642374385,1.2977964861198827,0.9949037088704381,0.6721105820381666,0.8962064371143575,0.9949037088704381,0.9999672292540267,0.99999990934349,0.9999999989667373,0.9856004114168166,0.999485728979172,1.0,260,1.0,1.0,911,239,148,0.6259155357198055,0.6305154236626317,25,123,91,3833,3811,True,False,False,False,13.179615264525694,0.031355544236867795,True,False,False
0.15,1.0067373300868827,1.2143659223964118,0.999200965338137,0.7331104644551479,0.9504996431738575,0.999200965338137,0.9999990174638672,0.9999999996273601,0.9999999999990358,0.9894574440730265,1.0,1.0,260,1.0,1.0,911,240,148,0.6250072464510613,0.6303047337748895,25,123,92,3848,3826,True,False,False,False,13.545537446728748,0.031355544236867795,True,False,False
0.1,1.000237349297072,1.1386550313751092,0.9999802019121197,0.8366508985306792,0.9887121430141027,0.9999802019121197,0.9999999990715478,0.9999999999999942,1.0,0.9940858832604783,1.0,1.0,260,1.0,1.0,911,240,148,0.6248870538249883,0.6303047337748895,25,123,92,3866,3843,True,False,False,False,13.925713917505197,0.031355544236867795,True,False,False
