theta_temperature,median_effective_topics_per_spectrum,mean_effective_topics_per_spectrum,median_max_theta,max_theta_p10,max_theta_p25,max_theta_p50,max_theta_p75,max_theta_p90,max_theta_p95,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics,top1_assignment_stability,top3_set_stability,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,sos_high_gt_0_8,sos_intermediate_0_6_to_0_8,sos_low_lt_0_6,associated_spectra,associated_molecules,gate_optimized,gate_evaluable,gate_useful,gate_mean_sos,completion_nll,completion_oov_fraction,finite_stable,gate_completion_nll,passed_all_numeric_gates
1.0,43.78513615837659,103.75112610408713,0.3625686715939848,0.1286374492224353,0.2200249093198668,0.3625686715939848,0.5372986124151535,0.7092991084603152,0.8030211595936719,0.29236307534070455,0.6117253792748779,0.7842633067626639,260,1.0,1.0,609,130,79,0.6387960987924486,0.631265664160401,15,64,51,1137,1130,False,False,False,False,8.690730173969426,0.031355544236867795,True,True,False
0.8,6.552939635266184,30.68802766641677,0.5714348447161672,0.2542358795369199,0.3897900287287675,0.5714348447161672,0.7649928790680973,0.903746552052544,0.9491100069432618,0.6006685523270764,0.8521470815119568,0.934944715865261,260,1.0,1.0,609,163,100,0.6382419375771496,0.631578947368421,20,80,63,2336,2318,False,False,False,False,9.2422975489162,0.031355544236867795,True,True,False
0.6,2.2025302235340596,8.140378236464025,0.7490720599372973,0.39607213619294895,0.5452246229061717,0.7490720599372973,0.9230696453811428,0.9841245724186786,0.9948895337247989,0.8120339418873747,0.9575726407816919,0.9850861403959887,260,1.0,1.0,609,175,110,0.6438112473684114,0.631578947368421,25,85,65,3158,3136,False,False,False,False,10.33245741426793,0.031355544236867795,True,False,False
0.5,1.7899804062437572,4.51874126152973,0.8236801339049764,0.4626148812455439,0.612558661884582,0.8236801339049764,0.964805619836122,0.9959200566752974,0.999059138734235,0.870660838261764,0.9799434301877089,0.9933144767292363,260,1.0,1.0,609,178,110,0.6416677078233015,0.631578947368421,25,85,68,3386,3363,False,False,False,False,11.088274344538377,0.031355544236867795,True,False,False
0.4,1.4808953798744418,2.647976366864063,0.8962727016178668,0.5170907873631263,0.6802901090851748,0.8962727016178668,0.9884698021990046,0.9992695675126064,0.9999058876330762,0.9187451787091797,0.9907431216250965,0.9976857804062741,260,1.0,1.0,609,182,112,0.6423620775195337,0.6363008971704625,25,87,70,3573,3549,False,False,False,False,11.938347851014186,0.031355544236867795,True,False,False
0.3,1.2258316398756073,1.7380048510953068,0.9542036893194605,0.5743607856638491,0.7625083838777906,0.9542036893194605,0.9978719730144774,0.9999516781283933,0.9999978746456689,0.9526870660838261,0.9951144253021342,0.9989714579583441,260,1.0,1.0,609,183,112,0.6412172158910104,0.634920634920635,26,86,71,3705,3679,False,False,False,False,12.8153322129126,0.031355544236867795,True,False,False
0.25,1.127669766561241,1.5033621677416815,0.9762124853928367,0.6122335347111342,0.8161158149712965,0.9762124853928367,0.9994279703370016,0.9999943962485959,0.9999998634510104,0.9673437901774236,0.9974286448958601,0.999742864489586,260,1.0,1.0,609,183,112,0.6414458743015081,0.6328947368421053,26,86,71,3762,3736,False,False,False,False,13.246777499693197,0.031355544236867795,True,False,False
0.2,1.0543036611846517,1.3529409097264493,0.9910671607785759,0.6575567407463625,0.8751799019463745,0.9910671607785759,0.9999223478809217,0.9999997640710764,0.9999999978649137,0.978143481614811,0.9989714579583441,1.0,260,1.0,1.0,609,184,112,0.6407394957486404,0.6324646844383687,25,87,72,3804,3778,False,False,False,False,13.683066921676543,0.031355544236867795,True,False,False
0.15,1.0130125405591723,1.245026146125769,0.9983018474589297,0.7196915513612291,0.9363902945881613,0.9983018474589297,0.9999970686264812,0.9999999986628552,0.9999999999976705,0.9866289534584726,0.999742864489586,1.0,260,1.0,1.0,609,185,113,0.6423650008766832,0.6328947368421053,25,88,72,3837,3811,False,False,False,False,14.149273591863903,0.031355544236867795,True,False,False
0.1,1.0006796130110935,1.1541922108864338,0.9999366291365063,0.8190905785958063,0.9840193956350765,0.9999366291365063,0.9999999952728613,0.9999999999999583,1.0,0.9943430187708923,1.0,1.0,260,1.0,1.0,609,186,114,0.6441648962690804,0.6339076858813701,26,88,72,3867,3841,False,False,False,False,14.66988248740443,0.031355544236867795,True,False,False
