topic_a,topic_b,beta_cosine,top20_word_overlap,combined_mean_theta_usage,combined_top1_spectrum_count
2,48,1.0,1.0,0.00014456245832684673,0
2,113,1.0,1.0,0.00014456694235429518,0
2,309,1.0,1.0,0.00014456407790034115,0
2,404,1.0,1.0,0.00014456232079120115,0
2,537,1.0,1.0,0.00014456463778191644,0
2,634,1.0,1.0,0.00014456811700247995,0
2,718,1.0,1.0,0.0001445649172514262,0
2,741,1.0,1.0,0.00014456542765067023,0
2,819,1.0,1.0,0.00014456500565303743,0
2,859,1.0,1.0,0.00014456555270565594,0
2,988,1.0,1.0,0.00014456268547942717,0
2,997,1.0,1.0,0.00014456499840474123,0
5,204,1.0,1.0,0.00014455663760445996,0
5,822,1.0,1.0,0.000144557020236187,0
5,997,1.0,1.0,0.00014455791183693153,0
6,913,1.0,1.0,0.00014472647724588213,0
16,48,1.0,1.0,0.00014456520774691368,0
16,58,1.0,1.0,0.00014456516860296488,0
16,67,1.0,1.0,0.0001445663103723262,0
16,84,1.0,1.0,0.00014456822189542416,0
16,100,1.0,1.0,0.00014456710869698318,0
16,115,1.0,1.0,0.00014456864279884294,0
16,135,1.0,1.0,0.00014457166346765866,0
16,143,1.0,1.0,0.00014456815415541454,0
16,161,1.0,1.0,0.00014456402635641552,0
16,224,1.0,1.0,0.00014456808976904807,0
16,257,1.0,1.0,0.00014457179480621747,0
16,261,1.0,1.0,0.00014457362847948482,0
16,274,1.0,1.0,0.00014457254100848875,0
16,301,1.0,1.0,0.0001445699649609854,0
16,311,1.0,1.0,0.0001445678366179016,0
16,326,1.0,1.0,0.00014457179781262442,0
16,343,1.0,1.0,0.00014457257617038797,0
16,348,1.0,1.0,0.0001445759351460912,0
16,383,1.0,1.0,0.00014456959816847682,0
16,396,1.0,1.0,0.000144571636335797,0
16,526,1.0,1.0,0.00014457085571316464,0
16,529,1.0,1.0,0.00014457016187370363,0
16,537,1.0,1.0,0.00014456738720198338,0
16,551,1.0,1.0,0.00014456477236243678,0
16,555,1.0,1.0,0.0001445656015024894,0
16,635,1.0,1.0,0.0001445731968611014,0
16,654,1.0,1.0,0.00014456686632260848,0
16,661,1.0,1.0,0.00014456272736086342,0
16,670,1.0,1.0,0.00014456596724719915,0
16,737,1.0,1.0,0.0001445715037576356,0
16,744,1.0,1.0,0.00014456774538029168,0
16,767,1.0,1.0,0.00014457097165522346,0
16,809,1.0,1.0,0.0001445654502975971,0
16,822,1.0,1.0,0.00014456685622406363,0
16,847,1.0,1.0,0.00014456617480705742,0
16,855,1.0,1.0,0.00014456931559139985,0
16,859,1.0,1.0,0.00014456830212572285,0
16,882,1.0,1.0,0.00014457465510053555,0
16,934,1.0,1.0,0.00014456580972933614,0
16,971,1.0,1.0,0.0001445700529315786,0
16,987,1.0,1.0,0.0001445652648015748,0
16,997,1.0,1.0,0.00014456774782480814,0
23,31,1.0,1.0,0.00014456552594204034,0
23,34,1.0,1.0,0.0001445679429759242,0
23,48,1.0,1.0,0.0001445620579669209,0
23,53,1.0,1.0,0.00014456333970093769,0
23,67,1.0,1.0,0.00014456316059233344,0
23,113,1.0,1.0,0.00014456654199436936,0
23,129,1.0,1.0,0.00014456879522177523,0
23,143,1.0,1.0,0.00014456500437542177,0
23,164,1.0,1.0,0.0001445696988690479,0
23,169,1.0,1.0,0.0001445646330054518,0
23,179,1.0,1.0,0.00014456572029546383,0
23,184,1.0,1.0,0.00014456780622074515,0
23,196,1.0,1.0,0.00014456688471894627,0
23,217,1.0,1.0,0.00014456168717128198,0
23,252,1.0,1.0,0.00014456555410037803,0
23,257,1.0,1.0,0.0001445686450262247,0
23,279,1.0,1.0,0.000144567467287323,0
23,284,1.0,1.0,0.00014455957573660514,0
23,344,1.0,1.0,0.0001445627850353725,0
23,413,1.0,1.0,0.0001445674084281186,0
23,475,1.0,1.0,0.00014456620556382903,0
23,555,1.0,1.0,0.00014456245172249664,0
23,584,1.0,1.0,0.00014456631315309102,0
23,614,1.0,1.0,0.00014456625970226856,0
23,650,1.0,1.0,0.0001445637715454312,0
23,665,1.0,1.0,0.00014456410108190654,0
23,676,1.0,1.0,0.0001445674887306965,0
23,678,1.0,1.0,0.00014457076154773563,0
23,810,1.0,1.0,0.0001445617273079035,0
23,826,1.0,1.0,0.00014456448204979748,0
23,847,1.0,1.0,0.00014456302502706465,0
23,882,1.0,1.0,0.00014457150532054278,0
23,889,1.0,1.0,0.00014456300640362007,0
23,903,1.0,1.0,0.00014456271134029793,0
23,924,1.0,1.0,0.00014456410738751085,0
23,925,1.0,1.0,0.0001445646666320552,0
23,932,1.0,1.0,0.00014456893234448948,0
23,938,1.0,1.0,0.0001445663332693753,0
23,971,1.0,1.0,0.00014456690315158582,0
23,997,1.0,1.0,0.00014456459804481538,0
24,654,1.0,1.0,0.00014455610231752512,0
24,965,1.0,1.0,0.00014455127513478963,0
27,67,1.0,1.0,0.00014456198345776257,0
27,204,1.0,1.0,0.00014456214667777294,0
28,34,1.0,1.0,0.00014456688606140106,0
28,88,1.0,1.0,0.0001445696511195636,0
28,679,1.0,1.0,0.00014456344399559707,0
28,859,1.0,1.0,0.00014456409543120698,0
34,53,1.0,1.0,0.0001445659691173639,0
34,56,1.0,1.0,0.00014456827786638493,0
34,169,1.0,1.0,0.00014456726242187802,0
34,187,1.0,1.0,0.00014456861406397738,0
34,196,1.0,1.0,0.00014456951413537248,0
34,257,1.0,1.0,0.00014457127444265092,0
34,383,1.0,1.0,0.0001445690778049103,0
34,406,1.0,1.0,0.00014457095530232786,0
34,413,1.0,1.0,0.0001445700378445448,0
34,442,1.0,1.0,0.00014456477225784618,0
34,555,1.0,1.0,0.00014456508113892287,0
34,573,1.0,1.0,0.00014456618707807962,0
34,584,1.0,1.0,0.00014456894256951723,0
34,614,1.0,1.0,0.00014456888911869477,0
34,635,1.0,1.0,0.00014457267649753484,0
34,672,1.0,1.0,0.00014456249973033862,0
34,679,1.0,1.0,0.00014456713032654642,0
34,716,1.0,1.0,0.0001445722190388927,0
34,767,1.0,1.0,0.00014457045129165694,0
34,876,1.0,1.0,0.0001445680787645943,0
34,882,1.0,1.0,0.000144574134736969,0
34,925,1.0,1.0,0.00014456729604848142,0
34,948,1.0,1.0,0.0001445698334625418,0
34,962,1.0,1.0,0.00014456826659517525,0
34,971,1.0,1.0,0.00014456953256801203,0
34,980,1.0,1.0,0.00014456766266121156,0
35,730,1.0,1.0,0.00014456032955272637,0
38,265,1.0,1.0,0.00014456288085591869,0
40,436,1.0,1.0,0.00014466070763366294,0
40,627,1.0,1.0,0.00014466264201359476,0
40,683,1.0,1.0,0.00014465627195348166,0
41,132,1.0,1.0,0.00014456434273895014,0
41,160,1.0,1.0,0.0001445680247528378,0
41,227,1.0,1.0,0.0001445646009495757,0
41,324,1.0,1.0,0.00014456772214391608,0
41,326,1.0,1.0,0.00014456917310722977,0
41,344,1.0,1.0,0.0001445633101099706,0
41,475,1.0,1.0,0.00014456673063842714,0
41,573,1.0,1.0,0.00014456408273625152,0
41,679,1.0,1.0,0.00014456502598471832,0
41,925,1.0,1.0,0.0001445651917066533,0
47,115,1.0,1.0,0.00014456399809630914,0
47,722,1.0,1.0,0.0001445641183683416,0
47,878,1.0,1.0,0.00014456830030094695,0
47,932,1.0,1.0,0.00014456743742194845,0
48,53,1.0,1.0,0.00014456008410836064,0
48,58,1.0,1.0,0.00014455876323039507,0
48,67,1.0,1.0,0.0001445599049997564,0
48,100,1.0,1.0,0.00014456070332441337,0
48,113,1.0,1.0,0.00014456328640179232,0
48,143,1.0,1.0,0.00014456174878284473,0
48,160,1.0,1.0,0.00014456424408566265,0
48,169,1.0,1.0,0.00014456137741287474,0
48,179,1.0,1.0,0.00014456246470288678,0
48,187,1.0,1.0,0.00014456272905497412,0
48,274,1.0,1.0,0.00014456613563591894,0
48,279,1.0,1.0,0.00014456421169474595,0
48,284,1.0,1.0,0.0001445563201440281,0
48,311,1.0,1.0,0.0001445614312453318,0
48,326,1.0,1.0,0.0001445653924400546,0
48,382,1.0,1.0,0.00014455941105832846,0
48,414,1.0,1.0,0.00014456144058113215,0
48,426,1.0,1.0,0.00014455800970633213,0
48,442,1.0,1.0,0.0001445588872488429,0
48,481,1.0,1.0,0.0001445574209633362,0
48,529,1.0,1.0,0.00014456375650113382,0
48,544,1.0,1.0,0.00014456221801546025,0
48,609,1.0,1.0,0.0001445603603074518,0
48,626,1.0,1.0,0.0001445616018712876,0
48,633,1.0,1.0,0.00014456317276549045,0
48,634,1.0,1.0,0.00014456446104997708,0
48,635,1.0,1.0,0.0001445667914885316,0
48,643,1.0,1.0,0.00014455882177490857,0
48,676,1.0,1.0,0.00014456423313811945,0
48,741,1.0,1.0,0.00014456177169816734,0
48,745,1.0,1.0,0.00014456068117643864,0
48,768,1.0,1.0,0.00014455977427362427,0
48,809,1.0,1.0,0.0001445590449250273,0
48,810,1.0,1.0,0.00014455847171532645,0
48,826,1.0,1.0,0.00014456122645722044,0
48,847,1.0,1.0,0.0001445597694344876,0
48,859,1.0,1.0,0.00014456189675315304,0
48,898,1.0,1.0,0.00014456037893655288,0
48,906,1.0,1.0,0.0001445644822656866,0
48,924,1.0,1.0,0.0001445608517949338,0
48,925,1.0,1.0,0.00014456141103947814,0
48,932,1.0,1.0,0.00014456567675191244,0
48,938,1.0,1.0,0.00014456307767679827,0
48,965,1.0,1.0,0.00014455563376730316,0
48,971,1.0,1.0,0.00014456364755900878,0
48,997,1.0,1.0,0.00014456134245223833,0
53,56,1.0,1.0,0.00014456367459139843,0
53,67,1.0,1.0,0.00014456118673377314,0
53,113,1.0,1.0,0.0001445645681358091,0
53,169,1.0,1.0,0.00014456265914689152,0
53,179,1.0,1.0,0.00014456374643690356,0
53,215,1.0,1.0,0.00014455774239643308,0
53,283,1.0,1.0,0.00014455802309229124,0
