topic_id,nearest_topic_id,nearest_beta_cosine,nearest_top20_word_overlap,mean_theta_usage,top1_spectrum_count,optimized,nearest_topic_optimized,in_largest_beta_component_ge_0_999
0,951,0.07802768051624298,0.0,0.001988723989410585,6,True,True,False
1,322,0.07370158284902573,0.15,0.0028331112576386267,11,True,True,False
2,48,1.0,1.0,7.228305713967481e-05,0,True,True,True
3,452,0.04359905794262886,0.0,0.0021869772443425593,3,True,True,False
4,543,0.049119237810373306,0.05,0.002803306357431082,7,True,True,False
5,204,1.0,1.0,7.227597057186513e-05,0,True,True,True
6,913,1.0,1.0,7.23670502458949e-05,0,True,True,True
7,556,0.9999908208847046,1.0,7.235165136345311e-05,0,True,True,True
8,951,0.11621113121509552,0.0,0.0018766457098247991,3,True,True,False
9,993,0.1624569296836853,0.0,0.002163017200909746,2,True,True,False
10,960,0.08444830030202866,0.15,0.001333746359270785,3,True,True,False
11,951,0.04727708920836449,0.0,0.0018619299222853688,3,True,True,False
12,618,0.9999991655349731,1.0,7.228827171895865e-05,0,True,True,True
13,753,0.9999975562095642,1.0,7.227610281652047e-05,0,True,True,True
14,401,0.9999996423721313,1.0,7.229590821233199e-05,0,True,True,True
15,476,0.9999996423721313,1.0,7.228191207914296e-05,0,True,True,True
16,48,1.0,1.0,7.228580655974174e-05,0,True,True,True
17,262,0.9999998807907104,1.0,7.23764859483187e-05,0,True,True,True
18,135,0.9999999403953552,1.0,7.22901182800612e-05,0,True,True,True
19,67,0.9999998807907104,1.0,7.228778865930016e-05,0,True,True,True
20,613,0.9999998807907104,1.0,7.22905567511164e-05,0,True,True,True
21,498,0.9855389595031738,0.65,0.00440780538461221,17,True,True,False
22,67,0.9999996423721313,1.0,7.227338211732041e-05,0,True,True,True
23,31,1.0,1.0,7.228265677974898e-05,0,True,True,True
24,654,1.0,1.0,7.22750425546584e-05,0,True,True,True
25,454,0.12163590639829636,0.25,0.0015958093763618695,2,True,True,False
26,131,0.1387459933757782,0.3,0.002495518470515696,9,True,True,False
27,67,1.0,1.0,7.228147964517812e-05,0,True,True,True
28,34,1.0,1.0,7.228159986522586e-05,0,True,True,True
29,96,0.9999999403953552,1.0,7.234006235507178e-05,0,True,True,True
30,197,0.03500921279191971,0.0,0.0026174217360856416,15,True,True,False
31,23,1.0,1.0,7.228286916229134e-05,0,True,True,True
32,807,0.9999958276748657,1.0,7.227856716090956e-05,0,True,True,True
33,106,0.9999988079071045,1.0,7.233960668167026e-05,0,True,True,True
34,23,1.0,1.0,7.22852861961752e-05,0,True,True,True
35,730,1.0,1.0,7.228234615757175e-05,0,True,True,True
36,859,0.9999998807907104,1.0,7.228569709938595e-05,0,True,True,True
37,229,0.3835054934024811,0.3,0.0025806951512481325,2,True,True,False
38,265,1.0,1.0,7.228213548405174e-05,0,True,True,True
39,846,0.16405518352985382,0.1,0.0016490973876457115,1,True,True,False
40,436,1.0,1.0,7.232976943305323e-05,0,True,True,True
41,132,1.0,1.0,7.228318185434709e-05,0,True,True,True
42,929,0.06778405606746674,0.0,0.0013928625548768952,5,False,True,False
43,825,0.9999998211860657,1.0,7.228815440850058e-05,0,True,True,True
44,913,0.9999993443489075,1.0,7.235680018745544e-05,0,True,True,True
45,649,0.058655884116888046,0.0,0.0020622327729781513,6,True,True,False
46,806,0.14073842763900757,0.0,0.0019513575700650842,4,True,True,False
47,115,1.0,1.0,7.228116185720793e-05,0,True,True,True
48,2,1.0,1.0,7.227940118717193e-05,0,True,True,True
49,242,0.14585040509700775,0.2,0.00327152596054381,15,True,True,False
50,674,0.05512804910540581,0.0,0.002765938082423563,15,True,True,False
51,80,0.27447202801704407,0.2,0.003051816156373682,16,True,True,False
52,16,0.9999997019767761,1.0,7.227721296761866e-05,0,True,True,True
53,23,1.0,1.0,7.22806829211887e-05,0,True,True,True
54,929,0.11172012239694595,0.0,0.0027426563762599863,11,True,True,False
55,123,0.9999979138374329,1.0,7.227438081626545e-05,0,True,True,True
56,34,1.0,1.0,7.228299167020975e-05,0,True,True,True
57,284,1.0,1.0,7.22754032803277e-05,0,True,True,True
58,16,1.0,1.0,7.227936204322314e-05,0,True,True,True
59,185,0.15790623426437378,0.0,0.0016574913911068332,1,False,True,False
60,628,0.09422177076339722,0.1,0.0027706155036796966,6,True,True,False
61,971,0.9999995827674866,1.0,7.22887284511948e-05,0,True,True,True
62,712,0.06302541494369507,0.05,0.002823970141146405,7,True,True,False
63,566,0.9999998807907104,1.0,7.23538704578183e-05,0,True,True,True
64,460,0.9999999403953552,1.0,7.227622138921189e-05,0,True,True,True
65,440,0.9999982118606567,1.0,7.228445616045518e-05,0,True,True,True
66,160,1.0,1.0,7.228788650348913e-05,0,True,True,True
67,16,1.0,1.0,7.228050381258444e-05,0,True,True,True
68,329,0.9999998211860657,1.0,7.23240915837048e-05,0,True,True,True
69,951,0.09038403630256653,0.0,0.0021722100623068306,1,False,True,False
70,17,0.9999992251396179,1.0,7.238178224040927e-05,0,True,True,True
71,457,0.14325948059558868,0.15,0.0025020853720248517,4,True,True,False
72,362,0.999997079372406,1.0,7.233512437712377e-05,0,True,True,True
73,668,0.08139191567897797,0.2,0.001425500671144765,3,True,True,False
74,25,0.07718886435031891,0.25,0.0017570668908697652,5,True,True,False
75,80,0.07221632450819016,0.15,0.003264076004506549,19,True,True,False
76,377,1.0,1.0,7.22854725547284e-05,0,True,True,True
77,845,0.9999999403953552,1.0,7.23591986745157e-05,0,True,True,True
78,195,0.9999974370002747,1.0,7.23017600160444e-05,0,True,True,True
79,195,0.999999463558197,1.0,7.230260663163407e-05,0,True,True,True
80,51,0.27447202801704407,0.2,0.0049504555123165836,52,True,True,False
