topic_id,eligible,associated_spectra,associated_molecules,sos
0,True,4,4,0.6794871794871795
1,True,6,6,0.7000000000000001
2,False,0,0,
3,True,1,1,0.54
4,True,4,4,0.6413043478260869
5,False,0,0,
6,False,0,0,
7,False,0,0,
8,True,2,2,0.5564516129032258
9,False,0,0,
10,True,3,3,0.6833333333333332
11,True,2,2,0.5
12,False,0,0,
13,False,0,0,
14,False,0,0,
15,False,0,0,
16,False,0,0,
17,False,0,0,
18,False,0,0,
19,False,0,0,
20,False,0,0,
21,True,1,1,1.0
22,False,0,0,
23,False,0,0,
24,False,0,0,
25,True,1,1,0.7833333333333333
26,True,5,5,0.5743589743589743
27,False,0,0,
28,False,0,0,
29,False,0,0,
30,True,9,8,0.686619718309859
31,False,0,0,
32,False,0,0,
33,False,0,0,
34,False,0,0,
35,False,0,0,
36,False,0,0,
37,False,0,0,
38,False,0,0,
39,True,1,1,0.625
40,False,0,0,
41,False,0,0,
42,False,4,4,
43,False,0,0,
44,False,0,0,
45,True,1,1,0.4772727272727273
46,True,2,2,0.75
47,False,0,0,
48,False,0,0,
49,True,6,6,0.8157894736842105
50,True,4,4,0.668918918918919
51,True,7,7,0.5812807881773399
52,False,0,0,
53,False,0,0,
54,True,7,7,0.8035714285714286
55,False,0,0,
56,False,0,0,
57,False,0,0,
58,False,0,0,
59,False,0,0,
60,False,0,0,
61,False,0,0,
62,True,1,1,0.6571428571428571
63,False,0,0,
64,False,0,0,
65,False,0,0,
66,False,0,0,
67,False,0,0,
68,False,0,0,
69,False,0,0,
70,False,0,0,
71,False,0,0,
72,False,0,0,
73,False,0,0,
74,True,2,2,0.75
75,True,9,9,0.6783625730994152
76,False,0,0,
77,False,0,0,
78,False,0,0,
79,False,0,0,
80,True,18,18,0.7777777777777778
81,False,0,0,
82,False,1,1,
83,True,1,1,0.7962962962962963
84,False,0,0,
85,False,0,0,
86,True,22,22,0.6146245059288536
87,False,0,0,
88,False,0,0,
89,True,2,2,0.5166666666666666
90,False,0,0,
91,False,0,0,
92,False,0,0,
93,False,0,0,
94,True,10,10,0.6476923076923078
95,True,1,1,0.3968253968253968
96,False,0,0,
97,False,0,0,
98,False,0,0,
99,False,0,0,
100,False,0,0,
101,False,0,0,
102,True,9,9,0.769392033542977
103,False,0,0,
104,True,4,4,0.763888888888889
105,False,0,0,
106,False,0,0,
107,True,6,6,0.6
108,False,0,0,
109,True,11,11,0.6569468267581475
110,False,0,0,
111,False,0,0,
112,False,0,0,
113,False,0,0,
114,True,4,4,0.60546875
115,False,0,0,
116,False,0,0,
117,True,3,3,0.595959595959596
118,False,0,0,
119,True,2,2,0.6428571428571428
120,True,2,2,0.5263157894736842
121,True,1,1,0.7631578947368421
122,True,7,7,0.6258503401360545
123,False,0,0,
124,True,8,8,0.6875
125,False,0,0,
126,True,27,27,0.874074074074074
127,False,0,0,
128,False,0,0,
129,False,0,0,
130,False,0,0,
131,True,4,4,0.6190476190476191
132,False,0,0,
133,True,31,31,0.7849462365591399
134,True,2,2,0.8604651162790697
135,False,0,0,
136,False,0,0,
137,False,0,0,
138,False,1,1,
139,True,3,3,0.7320261437908497
140,False,0,0,
141,False,0,0,
142,False,0,0,
143,False,0,0,
144,False,0,0,
145,True,4,4,0.5202702702702703
146,False,0,0,
147,False,0,0,
148,False,3,3,
149,False,0,0,
150,True,2,2,0.5909090909090908
151,False,0,0,
152,False,0,0,
153,False,0,0,
154,True,7,7,0.6530612244897959
155,False,3,3,
156,True,29,29,0.43563218390804603
157,False,0,0,
158,False,0,0,
159,True,5,5,0.43728813559322033
160,False,0,0,
161,False,0,0,
162,False,0,0,
163,True,4,4,0.6793478260869565
164,False,0,0,
165,False,0,0,
166,True,1,1,0.6818181818181818
167,True,6,6,0.5690476190476191
168,False,0,0,
169,False,0,0,
170,False,0,0,
171,False,0,0,
172,True,3,3,0.8066666666666666
173,False,0,0,
174,False,0,0,
175,False,0,0,
176,True,11,11,0.5090909090909091
177,True,12,11,0.5297805642633229
178,False,0,0,
179,False,0,0,
180,True,2,2,0.75
181,False,0,0,
182,False,0,0,
183,False,0,0,
184,False,0,0,
185,False,0,0,
186,False,0,0,
187,False,0,0,
188,False,0,0,
189,True,33,33,0.5651515151515151
190,False,0,0,
191,True,7,7,0.632967032967033
192,False,0,0,
193,True,5,5,0.654054054054054
194,False,0,0,
195,False,0,0,
196,False,0,0,
197,False,0,0,
198,False,0,0,
199,True,11,11,0.6732186732186732
200,False,0,0,
201,True,2,2,0.9444444444444444
202,True,1,1,0.6349206349206349
203,False,0,0,
204,False,0,0,
205,False,0,0,
206,True,2,2,0.6515151515151516
207,False,0,0,
208,True,5,5,0.674074074074074
209,False,0,0,
210,False,2,2,
211,True,4,4,0.6507936507936508
212,False,0,0,
213,False,0,0,
214,True,1,1,1.0
215,False,0,0,
216,False,0,0,
217,False,0,0,
218,False,0,0,
219,True,10,10,0.9142857142857143
220,False,0,0,
221,False,0,0,
222,True,10,10,0.6245283018867924
223,False,0,0,
224,False,0,0,
225,False,0,0,
226,False,0,0,
227,False,0,0,
228,True,4,4,0.6339285714285714
229,True,18,18,0.6155913978494624
230,False,0,0,
231,False,0,0,
232,False,0,0,
233,False,0,0,
234,True,46,46,0.535232383808096
235,False,0,0,
236,True,1,1,0.3783783783783784
237,False,0,0,
238,False,0,0,
239,False,0,0,
240,True,10,10,0.74
241,True,11,11,0.8727272727272727
242,True,6,6,0.7407407407407408
243,True,6,6,0.6441441441441442
244,False,0,0,
245,False,0,0,
246,True,11,11,0.5892255892255892
247,True,1,1,0.5862068965517241
248,False,0,0,
249,True,2,2,0.5178571428571429
250,False,0,0,
251,False,0,0,
252,False,0,0,
253,False,0,0,
254,False,0,0,
255,False,0,0,
256,True,20,20,0.5675675675675675
257,False,0,0,
258,True,9,9,0.7350427350427351
259,False,0,0,
260,False,0,0,
261,False,0,0,
262,False,0,0,
263,True,4,4,0.5729166666666666
264,False,0,0,
265,False,0,0,
266,True,9,9,0.6765873015873015
267,True,1,1,0.52
268,False,0,0,
269,False,0,0,
270,False,0,0,
271,True,38,34,0.9455882352941176
272,False,0,0,
273,True,2,2,0.8125
274,False,0,0,
275,True,1,1,0.8363636363636363
276,False,0,0,
277,False,0,0,
278,False,0,0,
279,False,0,0,
280,True,9,9,0.5859969558599696
281,False,0,0,
282,False,0,0,
283,False,0,0,
284,False,0,0,
285,False,0,0,
286,False,0,0,
287,True,1,1,0.6590909090909091
288,True,4,4,0.8146551724137931
289,False,0,0,
290,False,0,0,
291,False,0,0,
292,False,0,0,
293,False,0,0,
294,False,0,0,
295,True,5,5,0.6048780487804879
296,True,12,12,0.4606918238993711
297,False,0,0,
298,False,0,0,
299,True,13,13,0.4523076923076923
300,False,0,0,
301,False,0,0,
302,False,0,0,
303,True,3,3,0.8333333333333334
304,False,0,0,
305,False,0,0,
306,False,0,0,
307,False,0,0,
308,False,0,0,
309,False,0,0,
310,False,0,0,
311,False,0,0,
312,False,0,0,
313,False,0,0,
314,False,0,0,
315,False,0,0,
316,True,1,1,0.7796610169491526
317,False,0,0,
318,False,0,0,
319,True,1,1,0.696969696969697
320,True,2,2,0.7857142857142857
321,False,0,0,
322,True,3,3,0.5583333333333332
323,True,8,8,0.734375
324,False,0,0,
325,False,0,0,
326,False,0,0,
327,True,1,1,0.5694444444444444
328,False,0,0,
329,False,0,0,
330,True,4,4,0.6508620689655172
331,True,2,2,0.54
332,False,0,0,
333,True,2,2,0.6956521739130435
334,True,1,1,0.7619047619047619
335,False,0,0,
336,False,0,0,
337,False,0,0,
338,True,8,7,0.46875
339,True,3,3,0.7142857142857144
340,False,0,0,
341,False,0,0,
342,False,0,0,
343,False,0,0,
344,False,0,0,
345,False,0,0,
346,True,1,1,0.5882352941176471
347,False,0,0,
348,False,0,0,
349,True,3,3,0.7400000000000001
350,True,2,2,0.5952380952380952
351,False,0,0,
352,True,24,23,0.8695652173913043
353,False,0,0,
354,False,0,0,
355,False,0,0,
356,False,0,0,
357,True,1,1,0.27586206896551724
358,False,0,0,
359,False,0,0,
360,False,0,0,
361,True,7,7,0.7669172932330827
362,False,0,0,
363,False,0,0,
364,True,4,4,0.7777777777777777
365,False,0,0,
366,True,19,19,0.774671052631579
367,False,0,0,
368,False,1,1,
369,False,0,0,
370,False,0,0,
371,False,0,0,
372,False,0,0,
373,False,0,0,
374,False,0,0,
375,False,0,0,
376,False,0,0,
377,False,0,0,
378,True,5,5,0.7384615384615384
379,False,0,0,
380,False,0,0,
381,True,1,1,0.5
382,False,0,0,
383,False,0,0,
384,False,0,0,
385,False,0,0,
386,False,0,0,
387,False,0,0,
388,False,0,0,
389,False,0,0,
390,True,4,4,0.6527777777777778
391,True,1,1,0.7777777777777778
392,False,0,0,
393,True,6,6,0.4327956989247312
394,False,0,0,
395,False,0,0,
396,False,0,0,
397,True,2,2,0.5
398,True,1,1,0.3333333333333333
399,False,0,0,
400,True,53,51,0.7510173880873104
401,False,0,0,
402,True,4,4,0.6875
403,False,0,0,
404,False,0,0,
405,False,0,0,
406,False,0,0,
407,False,0,0,
408,True,2,2,0.52
409,True,1,1,0.5531914893617021
410,False,0,0,
411,False,0,0,
412,False,0,0,
413,False,0,0,
414,False,0,0,
415,True,6,6,0.5925925925925927
416,True,7,7,0.4857142857142857
417,False,0,0,
418,False,0,0,
419,False,0,0,
420,False,0,0,
421,False,0,0,
422,True,1,1,0.43333333333333335
423,False,1,1,
424,False,0,0,
425,False,0,0,
426,False,0,0,
427,True,11,11,0.7878787878787878
428,False,0,0,
429,True,2,2,0.6666666666666667
430,True,7,7,0.6688311688311688
431,False,0,0,
432,False,0,0,
433,False,0,0,
434,False,0,0,
435,False,0,0,
436,False,0,0,
437,True,2,2,0.5983606557377049
438,True,2,2,0.7307692307692308
439,False,0,0,
440,False,0,0,
441,False,0,0,
442,False,0,0,
443,True,1,1,0.8571428571428571
444,True,6,6,0.5066666666666667
445,False,0,0,
446,False,0,0,
447,True,2,2,0.75
448,False,0,0,
449,False,0,0,
450,False,0,0,
451,True,1,1,0.8333333333333334
452,False,0,0,
453,False,0,0,
454,True,5,5,0.5
455,True,1,1,0.75
456,True,1,1,0.5272727272727272
457,True,2,2,0.4435483870967742
458,False,0,0,
459,True,3,3,0.5538461538461538
460,False,0,0,
461,False,0,0,
462,False,0,0,
463,True,1,1,0.8076923076923077
464,True,4,4,0.7307692307692308
465,True,3,3,0.8253968253968255
466,True,1,1,1.0
467,False,0,0,
468,True,1,1,0.9310344827586207
469,False,1,1,
470,True,2,2,0.40384615384615385
471,False,0,0,
472,False,0,0,
