topic_id,top_words,top_probabilities
0,frag@191.08 loss@186.1 frag@229.06 loss@185.01 loss@293.16 loss@143.12 frag@158.06 frag@253.1 loss@158.08 loss@161.11 frag@223.01 frag@173.07 frag@185.03 frag@158.08 frag@204.1 loss@193.04 loss@163.04 frag@174.09 frag@145.09 frag@185.07,0.3388541639 0.3377740681 0.06616557389 0.06140017137 0.03287877887 0.02020503581 0.009012477472 0.008638646454 0.007898307405 0.006164809689 0.005365166813 0.004869829863 0.004543134477 0.003296006471 0.003267214168 0.002448443556 0.002258836525 0.00218374189 0.002170909429 0.002163425786
1,frag@65.04 loss@228.06 loss@103.08 loss@200.05 frag@93.03 loss@225.06 loss@229.07 loss@196.07 loss@295.1 loss@120.03 loss@254.05 loss@268.05 loss@231.07 loss@128.04 loss@235.1 loss@228.05 loss@238.05 loss@110.01 loss@220.03 loss@268.09,0.4394735992 0.1020074189 0.04961015657 0.03947187588 0.03151071072 0.02996265329 0.02013486065 0.01506260596 0.01468149759 0.0125540141 0.01221024431 0.007796369959 0.0071393908 0.006865878124 0.006500755902 0.006378243212 0.006238654722 0.006208195351 0.005916810129 0.005764251575
2,frag@129.07 frag@117.07 frag@128.06 loss@198.09 loss@178.04 loss@225.12 loss@205.15 frag@115.05 frag@130.08 loss@275.06 loss@200.09 loss@291.17 loss@376.13 loss@364.16 loss@148.11 loss@64.04 loss@261.04 loss@229.14 loss@219.16 loss@216.14,0.1713258475 0.1647539735 0.0981996879 0.08864419162 0.0456674695 0.0445317179 0.04093215242 0.02655555308 0.02556005865 0.02539509721 0.02181121148 0.01179216988 0.01040863805 0.008296883665 0.008141282015 0.007041016594 0.00679785898 0.006755212322 0.005663926713 0.00491484534
3,frag@173.54 loss@315.16 loss@334.11 loss@325.13 loss@283.14 loss@330.14 loss@348.18 loss@282.17 loss@351.16 loss@307.12 loss@323.08 loss@326.13 loss@322.11 loss@268.18 loss@266.12 loss@351.17 loss@245.13 loss@251.11 loss@309.14 loss@332.12,0.4468737543 0.06520471722 0.05897084251 0.03145219386 0.02424006723 0.02296360955 0.01994367316 0.01936948672 0.0115143666 0.009887363762 0.008501471952 0.008392720483 0.008309225552 0.007445501164 0.007043748163 0.006894570775 0.006656000856 0.006243939511 0.006197546609 0.005821146071
4,frag@185.08 loss@115.05 loss@41.04 frag@232.06 loss@42.02 loss@126.06 loss@100.09 loss@129.05 frag@182.07 loss@99.05 loss@43.05 loss@119.09 loss@97.06 loss@98.11 loss@97.08 loss@104.03 loss@66.03 loss@85.06 loss@74.06 loss@84.03,0.3714010119 0.1754186451 0.06930650771 0.06869415939 0.03626810387 0.017977966 0.01515158918 0.01312351506 0.01072809473 0.009984596632 0.007627450395 0.006994357333 0.005721179303 0.005384118762 0.005297765136 0.005097541958 0.004928490613 0.004785283003 0.003716850886 0.003410296049
5,loss@248.08 frag@170.08 frag@217.14 frag@315.14 loss@187.03 frag@209.04 loss@155.04 loss@261.06 loss@163.05 loss@194.07 loss@273.07 loss@156.04 loss@203.12 loss@260.11 loss@286.06 loss@201.01 loss@230.01 frag@130.97 loss@333.21 frag@155.08,0.3702874184 0.3314892352 0.06514301151 0.0637498647 0.02185459435 0.007934627123 0.006005034782 0.005149459466 0.004637863021 0.004377188627 0.004203547724 0.003380626673 0.002761550713 0.002713815076 0.002552215243 0.002331463387 0.001712414436 0.001563754864 0.001511338749 0.001424718415
6,loss@186.02 frag@254.1 frag@190.01 frag@107.04 frag@87.0 frag@283.08 loss@249.04 frag@177.0 frag@55.03 frag@195.1 loss@233.04 frag@204.04 frag@102.0 frag@244.06 loss@172.04 loss@107.05 frag@214.03 loss@206.17 frag@70.05 loss@301.16,0.06024156511 0.02052087151 0.01608385332 0.0152076697 0.01516506169 0.01308212988 0.01268813293 0.01215610374 0.01164262462 0.007385344245 0.005826127715 0.005647670478 0.005466241855 0.005288300104 0.005111603998 0.004821266979 0.004759458825 0.004756639246 0.004627919756 0.004576697014
7,frag@263.14 loss@233.96 frag@273.03 loss@163.12 frag@253.12 frag@204.09 loss@309.17 frag@352.18 frag@185.06 loss@365.13 loss@368.15 frag@296.1 loss@101.12 frag@197.04 frag@163.11 frag@235.1 loss@144.11 frag@184.07 frag@227.09 loss@419.16,0.1283851415 0.01834454015 0.01453322172 0.01330208592 0.0126852449 0.01260125265 0.01223271526 0.008516194299 0.007978972979 0.005648395512 0.005092991982 0.004961027764 0.00397070311 0.003760186024 0.003691039281 0.003674062435 0.00342526217 0.003237914527 0.003155638231 0.00302047492
8,loss@111.07 frag@179.03 frag@156.98 frag@179.05 loss@173.0 frag@157.0 frag@207.02 loss@199.02 loss@111.06 frag@168.04 loss@257.06 frag@131.0 frag@198.11 loss@122.03 frag@180.11 loss@279.17 frag@308.09 frag@94.05 frag@300.17 frag@272.13,0.3549787998 0.1446404159 0.1322806478 0.09407498688 0.06964582205 0.04707642272 0.04516893253 0.03167879954 0.02144316584 0.01124554873 0.003631917527 0.001413430437 0.001233829884 0.00111233315 0.001055970788 0.001029932639 0.001001440105 0.000800164009 0.0007008221583 0.0006865136093
9,loss@153.09 loss@195.1 frag@196.11 frag@182.98 frag@243.12 frag@208.11 frag@275.19 frag@235.97 frag@167.09 frag@108.08 loss@151.1 frag@336.08 frag@165.07 frag@136.08 frag@180.05 frag@164.07 frag@189.1 frag@209.03 frag@171.04 frag@123.02,0.2520389259 0.2288375944 0.1537898779 0.08512464166 0.06066180021 0.03759345785 0.02327892929 0.02254096791 0.01861802861 0.01210261509 0.005950745661 0.00484819524 0.004474838264 0.003880232107 0.003103191266 0.003010134911 0.002774463035 0.002741885837 0.002473131288 0.002409881679
