topic_id,eligible,associated_spectra,associated_molecules,sos
0,True,18,18,0.8555555555555556
1,True,2,2,0.5833333333333333
2,False,0,0,
3,False,0,0,
4,False,0,0,
5,False,1,1,
6,False,0,0,
7,False,1,1,
8,True,3,3,0.6041666666666666
9,False,0,0,
10,False,0,0,
11,True,1,1,0.8571428571428571
12,False,0,0,
13,False,0,0,
14,True,1,1,0.41818181818181815
15,False,4,4,
16,False,0,0,
17,False,0,0,
18,False,0,0,
19,True,7,7,0.6685714285714285
20,True,1,1,0.6170212765957447
21,False,0,0,
22,False,0,0,
23,True,1,1,1.0
24,True,2,2,0.5408163265306123
25,False,0,0,
26,True,1,1,0.5714285714285714
27,False,2,2,
28,False,0,0,
29,False,0,0,
30,True,1,1,1.0
31,False,0,0,
32,False,3,3,
33,True,1,1,1.0
34,False,0,0,
35,False,0,0,
36,True,5,5,0.5878787878787879
37,False,0,0,
38,True,3,3,0.7066666666666667
39,False,0,0,
40,False,0,0,
41,False,0,0,
42,False,0,0,
43,True,8,8,0.673611111111111
44,False,0,0,
45,False,0,0,
46,False,0,0,
47,False,0,0,
48,True,2,2,0.6632653061224489
49,False,0,0,
50,True,1,1,0.5238095238095238
51,True,1,1,0.625
52,True,2,2,0.71875
53,False,0,0,
54,False,0,0,
55,False,0,0,
56,True,3,3,0.753623188405797
57,False,0,0,
58,False,0,0,
59,False,0,0,
60,True,2,2,0.7738095238095237
61,True,1,1,0.7435897435897436
62,False,0,0,
63,True,1,1,0.4230769230769231
64,False,2,2,
65,False,0,0,
66,False,0,0,
67,False,0,0,
68,True,4,4,0.4473684210526315
69,True,4,4,0.46875
70,False,0,0,
71,True,1,1,0.5777777777777777
72,True,2,2,1.0
73,False,2,2,
74,True,4,4,0.7732558139534884
75,False,0,0,
76,True,1,1,0.7346938775510204
77,True,1,1,0.5571428571428572
78,False,1,1,
79,False,0,0,
80,False,0,0,
81,True,2,2,0.7222222222222222
82,False,0,0,
83,True,1,1,0.7368421052631579
84,False,0,0,
85,True,7,7,0.5859213250517598
86,True,2,2,0.7307692307692308
87,False,2,2,
88,True,3,3,0.6289308176100629
89,False,0,0,
90,True,2,2,0.532258064516129
91,True,1,1,0.8888888888888888
92,True,2,2,0.4347826086956522
93,False,0,0,
94,False,0,0,
95,True,1,1,0.5576923076923077
96,False,0,0,
97,False,4,4,
98,True,2,2,0.7272727272727273
99,True,2,2,0.4807692307692308
100,True,7,7,0.5909090909090909
101,False,0,0,
102,True,1,1,0.6857142857142857
103,True,1,1,1.0
104,True,1,1,0.6578947368421053
105,True,1,1,0.7872340425531915
106,True,2,2,0.9166666666666667
107,True,1,1,0.4857142857142857
108,False,1,1,
109,False,0,0,
110,False,0,0,
111,True,4,4,0.6233766233766234
112,False,0,0,
113,True,3,3,0.6787878787878788
114,True,3,3,1.0
115,False,0,0,
116,True,1,1,0.5483870967741935
117,True,2,2,0.44791666666666663
118,False,0,0,
119,True,11,11,0.8636363636363636
120,False,0,0,
121,False,0,0,
122,True,1,1,0.6818181818181818
123,False,0,0,
124,False,0,0,
125,False,1,1,
126,False,0,0,
127,True,2,2,0.6136363636363636
128,True,4,4,0.5161290322580645
129,True,2,2,0.7777777777777778
130,True,5,5,0.5954545454545455
131,True,1,1,0.1875
132,False,3,3,
133,True,2,2,0.9090909090909092
134,True,2,2,0.6
135,False,0,0,
136,False,0,0,
137,False,0,0,
138,True,4,4,0.6556603773584906
139,False,3,3,
140,True,1,1,0.6944444444444444
141,True,2,2,0.6136363636363636
142,False,0,0,
143,True,1,1,0.8421052631578947
144,True,1,1,0.8125
145,True,1,1,0.34
146,False,0,0,
147,True,2,2,0.6875
148,False,0,0,
149,True,4,4,0.7338709677419355
150,False,0,0,
151,False,0,0,
152,False,0,0,
153,False,0,0,
154,True,2,2,0.5666666666666667
155,False,0,0,
156,False,0,0,
157,True,3,3,0.5611111111111111
158,False,0,0,
159,True,2,2,0.6060606060606061
160,True,3,3,0.6559139784946236
161,True,1,1,0.6
162,True,3,3,0.5833333333333334
163,True,31,31,0.9210526315789473
164,False,0,0,
165,True,7,7,0.7695852534562212
166,False,1,1,
167,True,1,1,0.3448275862068966
168,True,1,1,0.6382978723404256
169,True,2,2,0.75
170,True,1,1,0.30434782608695654
171,True,8,8,0.6684782608695652
172,True,1,1,0.6774193548387096
173,True,4,4,0.75
174,True,1,1,0.7678571428571429
175,True,1,1,0.6909090909090909
176,True,2,2,0.5142857142857142
