stage,seed,k,formulation,nll,true_beta_cosine,true_theta_cosine,top_motif_accuracy,median_effective_topics,median_exact_support,active_topics_gt_0_005,unique_top1_topics,mean_nearest_beta_cosine,catastrophic_duplicate
component_screen,11,36,balanced ETM softmax raw,6.4733,0.3114,0.4968,0.4750,3.25,36,8,7,0.8863,False
component_screen,11,36,balanced ETM plus soft-token routing,6.4880,0.3176,0.5216,0.4938,3.36,36,8,6,0.8956,False
component_screen,11,36,balanced ETM plus soft-context routing,6.4361,0.3318,0.5430,0.5250,3.28,36,9,7,0.8812,False
component_screen,11,36,balanced ETM plus top-2-context routing and softmax,6.2645,0.4466,0.7010,0.6875,3.33,36,14,12,0.7730,False
multi_seed,23,36,balanced ETM softmax raw,6.4267,0.3105,0.5039,,3.90,36,8,7,,False
multi_seed,23,36,balanced ETM plus top-2-context routing and softmax,6.1864,0.4594,0.7144,,3.06,36,13,11,,False
multi_seed,37,36,balanced ETM softmax raw,6.5129,0.2937,0.4598,,3.61,36,8,6,,False
multi_seed,37,36,balanced ETM plus top-2-context routing and softmax,6.2805,0.4208,0.7043,,3.27,36,13,12,,False
sparse_combination,11,36,balanced ETM plus entmax15,6.6167,0.2503,0.4031,,1.82,3,5,4,0.9301,False
sparse_combination,11,36,balanced ETM plus top-2-context routing and entmax15,6.2784,0.4985,0.7649,0.7500,1.97,4,14,14,0.7402,False
sparse_combination,23,36,balanced ETM plus entmax15,6.4898,0.2816,0.4773,,1.97,3,6,6,,False
sparse_combination,23,36,balanced ETM plus top-2-context routing and entmax15,6.2862,0.4215,0.7234,,2.00,4,12,11,,False
sparse_combination,37,36,balanced ETM plus entmax15,6.6866,0.2379,0.3115,,1.86,2,4,4,,False
sparse_combination,37,36,balanced ETM plus top-2-context routing and entmax15,6.3029,0.4743,0.7655,,2.03,4,16,14,,False
