topic_id,top_words,top_probabilities
0,frag@91.05 loss@219.09 loss@247.08 loss@235.08 loss@217.11 loss@217.1 frag@91.06 loss@247.11 loss@298.12 loss@328.12 frag@109.06 loss@243.1 loss@230.09 loss@300.16 loss@225.1 loss@263.04 loss@213.03 loss@255.13 loss@265.05 frag@147.08,0.4163222611 0.02792300656 0.02556203492 0.02237006277 0.01631946675 0.01585539803 0.01426041685 0.01293060929 0.01228969079 0.01184230391 0.011720079 0.01133151539 0.009829117917 0.009425907396 0.009405182675 0.00886688754 0.008416322991 0.008021573536 0.007536994293 0.007477738429
1,frag@141.01 loss@179.1 frag@141.03 loss@253.13 loss@287.16 loss@305.12 loss@298.09 loss@359.17 loss@302.06 loss@336.1 frag@184.06 frag@314.13 frag@115.03 frag@131.03 frag@95.01 frag@180.1 loss@184.08 loss@101.0 loss@304.18 frag@110.02,0.3210667372 0.06178019568 0.05249203742 0.04784623161 0.04504874349 0.025133444 0.01302158553 0.01301135123 0.007194282487 0.005194270983 0.004137200303 0.003388494253 0.0031720181 0.003050601808 0.003044735175 0.002800198505 0.002662537154 0.002383023733 0.002338279504 0.002090274123
2,loss@195.14 loss@259.07 frag@248.1 loss@95.02 frag@182.01 frag@151.99 frag@93.04 frag@120.07 frag@144.14 frag@137.08 frag@174.97 frag@125.08 frag@83.06 loss@167.11 frag@95.06 frag@126.08 frag@99.06 frag@68.05 frag@124.09 frag@200.05,0.2028018534 0.05828963593 0.01231530309 0.004968842026 0.004331467673 0.003963169176 0.003485136665 0.003454771824 0.003317521885 0.003164157504 0.003135634353 0.002841187641 0.002811466111 0.002698098309 0.002651890973 0.002608618233 0.002595889615 0.002561957808 0.002501355251 0.002498197602
3,frag@137.03 loss@136.03 frag@344.21 loss@153.06 frag@156.98 loss@312.12 loss@64.03 loss@225.07 frag@150.06 frag@152.05 loss@165.12 loss@143.06 loss@222.12 loss@229.03 loss@139.04 frag@144.06 loss@138.04 loss@174.09 loss@252.03 loss@261.13,0.2692357898 0.1525612473 0.006230212282 0.005000938196 0.004801487084 0.004402848892 0.004316693638 0.00384505745 0.00349899265 0.003476675134 0.003108127275 0.002928721951 0.002859141678 0.00275593414 0.002716390649 0.00249476824 0.002439541509 0.002346756402 0.002343080007 0.002313451376
4,loss@176.11 frag@145.06 frag@155.06 frag@155.05 loss@165.0 loss@316.1 frag@211.01 frag@216.08 frag@159.07 frag@140.05 frag@258.1 frag@191.02 frag@166.1 loss@326.08 loss@170.09 loss@293.19 loss@185.03 loss@138.1 frag@175.06 loss@172.07,0.1446382701 0.07335013151 0.05432226881 0.03563594818 0.003684164491 0.003533279989 0.003448412986 0.003223314648 0.002832776867 0.002824565163 0.002794460161 0.002651862567 0.002511215629 0.002397731645 0.002326291753 0.002295393962 0.002239813562 0.002166196937 0.002108967863 0.001918587717
5,loss@252.07 frag@116.03 loss@294.08 frag@113.02 frag@82.03 frag@138.01 frag@170.03 frag@134.02 loss@279.08 frag@179.08 frag@55.02 frag@86.01 frag@141.04 frag@166.09 frag@206.06 frag@111.03 frag@71.0 frag@318.03 frag@124.02 frag@120.04,0.1774847358 0.0811387822 0.01973466389 0.008385298774 0.005571764894 0.005280894227 0.005128688645 0.005007332191 0.003827967448 0.003634411842 0.003471409669 0.003371897154 0.003257079516 0.003231319832 0.003205662826 0.003075278597 0.003016153816 0.002902569948 0.0028944558 0.002781643067
6,loss@132.09 frag@230.98 frag@317.21 frag@142.97 frag@205.04 frag@133.03 frag@144.09 frag@463.24 frag@76.04 frag@261.97 frag@297.16 loss@77.05 frag@117.07 frag@173.1 frag@298.16 frag@308.12 frag@238.04 frag@128.04 frag@208.02 frag@143.09,0.2658841312 0.0206662491 0.009986280464 0.004842109978 0.003061003052 0.002623608336 0.002410409972 0.002232987434 0.002003761474 0.001991876401 0.001935923588 0.001935557579 0.001913056592 0.001821595128 0.00181629986 0.001568924403 0.001543087303 0.00150790927 0.001447434188 0.001427426701
7,loss@129.12 loss@157.11 loss@131.09 frag@195.08 frag@141.02 frag@57.07 frag@262.12 frag@123.09 frag@74.02 frag@284.05 frag@202.1 frag@191.11 frag@129.1 frag@95.07 frag@184.96 frag@203.04 frag@112.08 frag@69.07 loss@168.16 frag@181.06,0.1424296647 0.1341112256 0.06679989398 0.01520835236 0.01195926126 0.009457852691 0.008989544585 0.008642597124 0.008541646414 0.008192531765 0.007823383436 0.00684744725 0.006586849689 0.006216509733 0.006159380544 0.005973577499 0.005618020426 0.005417050328 0.005279704928 0.004761134274
8,loss@216.13 loss@242.11 frag@162.0 frag@113.04 frag@198.15 frag@93.03 frag@241.11 frag@120.06 frag@74.93 frag@89.07 frag@162.09 frag@161.09 frag@151.08 frag@127.09 frag@110.05 frag@180.12 loss@315.15 frag@120.04 frag@150.07 frag@190.09,0.2141000479 0.1048808694 0.01336313318 0.01317790058 0.01114248298 0.01083972678 0.0100530684 0.009760015644 0.008573658764 0.00853720773 0.007858748548 0.007584471256 0.007307227701 0.007154004648 0.006945173256 0.006532891188 0.006183744874 0.005565931089 0.005232085008 0.005089041311
9,loss@188.07 loss@214.06 loss@307.11 frag@206.08 frag@284.14 frag@187.1 frag@246.06 frag@150.09 frag@125.05 frag@200.08 frag@182.0 frag@123.05 frag@190.06 frag@172.05 frag@158.07 frag@132.06 frag@218.09 frag@98.03 frag@138.06 frag@84.05,0.2068393081 0.07217669487 0.06252386421 0.008419037797 0.006066406146 0.006007885095 0.00552413892 0.004196053836 0.003935246728 0.003534321208 0.002751650289 0.00267755799 0.002560690977 0.002534055384 0.002475578338 0.0022887839 0.002228318248 0.002211480169 0.002160178265 0.002092977753
10,frag@84.96 frag@102.97 loss@125.05 frag@384.2 frag@198.94 loss@158.07 frag@159.02 loss@189.02 loss@193.99 loss@113.13 frag@171.04 loss@267.99 loss@191.01 frag@162.06 frag@113.03 frag@95.02 loss@214.04 loss@244.13 loss@348.08 loss@204.99,0.202158168 0.01328264084 0.008984774351 0.005865007639 0.004336685874 0.004212673753 0.004084732849 0.003815114731 0.003680117428 0.003352231579 0.003345512552 0.003206338733 0.003177710343 0.003010486253 0.003001791192 0.002924461849 0.002869009972 0.002838508692 0.002821325092 0.002756783972
11,loss@150.1 frag@186.08 loss@239.07 loss@293.08 frag@341.17 frag@323.16 frag@141.08 frag@229.12 loss@151.14 frag@231.12 frag@165.09 frag@150.07 frag@141.07 frag@178.06 frag@123.0 frag@80.06 loss@216.01 loss@201.13 frag@158.98 loss@253.12,0.1528288722 0.1262400597 0.1098469645 0.02804485336 0.02319564112 0.01324780378 0.009099700488 0.006199245807 0.005244967528 0.004743635189 0.003968964331 0.003317445284 0.003314447124 0.003306918312 0.003273745067 0.003046030179 0.003019826487 0.002855710452 0.00282861013 0.002802014817
12,frag@138.07 loss@137.06 loss@286.04 frag@164.08 loss@165.09 loss@231.02 loss@185.98 frag@162.07 loss@169.01 frag@99.06 loss@313.15 loss@262.22 frag@140.03 loss@207.08 loss@264.09 loss@193.09 frag@96.04 loss@277.07 loss@443.21 frag@150.06,0.3026127517 0.2002733648 0.03582716733 0.02110127918 0.009001963772 0.007506030612 0.004518316127 0.004445097875 0.004383294843 0.004239938222 0.004224325065 0.003521822626 0.00352032599 0.003513148986 0.003285966115 0.003155902727 0.003104837378 0.003045919118 0.002821846399 0.002651292132
13,frag@173.08 loss@228.01 frag@186.09 loss@85.1 loss@148.08 loss@176.11 loss@113.13 loss@257.05 frag@174.09 frag@147.07 loss@138.1 loss@100.13 loss@129.99 loss@203.02 loss@185.01 loss@78.05 frag@159.07 loss@131.1 loss@146.06 loss@136.04,0.3144952655 0.02163227089 0.01030521281 0.01012074295 0.007767721079 0.0053242133 0.004660141654 0.004380622879 0.003812917974 0.003603885882 0.003559894627 0.003390215104 0.00303866202 0.002943049651 0.002921349602 0.002876501298 0.002869564341 0.002745943144 0.002515605185 0.002380762948
14,frag@82.06 frag@111.09 frag@83.07 frag@82.07 frag@69.06 frag@56.05 loss@241.99 loss@318.05 loss@256.17 frag@60.04 frag@68.05 loss@259.0 loss@199.0 loss@321.19 frag@84.06 frag@122.06 frag@84.08 loss@301.08 frag@126.09 loss@92.01,0.1106556132 0.02149645984 0.02041955106 0.01796426997 0.01468208991 0.01461072732 0.01322128903 0.01195133291 0.01136640925 0.01024354529 0.01020703465 0.009724708274 0.009422985837 0.009400214069 0.008479597047 0.007787313778 0.007776908576 0.007113995962 0.006615925115 0.006305783056
15,loss@136.05 frag@213.14 frag@448.16 frag@190.09 frag@187.06 frag@176.07 loss@164.05 frag@338.14 frag@202.12 frag@286.03 frag@241.14 frag@123.01 frag@136.03 frag@118.04 frag@189.02 loss@165.05 frag@152.05 frag@199.01 frag@150.07 frag@200.12,0.2316925824 0.01078871731 0.01068735681 0.01012316626 0.007909410633 0.007524612825 0.007196456194 0.007008257788 0.006624931935 0.005311033223 0.005166315939 0.004491523374 0.004472952802 0.004355709534 0.004090179689 0.00362541154 0.003551886883 0.003462751396 0.00340440427 0.003038856201
16,frag@139.01 frag@129.01 loss@231.01 frag@130.01 loss@148.07 frag@197.09 loss@290.15 frag@139.0 loss@172.04 frag@259.12 loss@217.0 loss@288.14 loss@155.01 loss@161.03 loss@378.09 loss@455.15 loss@148.04 loss@123.02 loss@112.07 frag@150.01,0.1134449989 0.1023174301 0.06183611974 0.05525204539 0.04362580925 0.03579260409 0.03390945122 0.02930191159 0.02359359525 0.01786127128 0.01119359862 0.01109876111 0.006789151113 0.006007591262 0.003885106416 0.003788454225 0.003583620768 0.003513214877 0.003482591594 0.003429177683
17,frag@203.03 loss@287.05 frag@227.03 frag@199.03 loss@242.13 frag@309.09 frag@195.01 frag@344.11 frag@185.03 frag@231.02 frag@173.03 loss@203.06 loss@158.05 loss@163.14 loss@292.01 loss@276.06 loss@359.14 frag@175.04 frag@106.04 loss@362.12,0.1162601933 0.04700220749 0.03064513206 0.02815205045 0.02472713217 0.01396469306 0.009816682898 0.008689699695 0.007368711755 0.006894345861 0.004537842236 0.004255250096 0.003859784221 0.003718505148 0.003690265818 0.0030604247 0.003018139862 0.002815874992 0.002632722724 0.002538602101
18,loss@165.02 frag@195.99 loss@156.01 loss@137.01 loss@222.08 frag@293.19 frag@318.03 frag@152.02 frag@124.02 loss@225.07 loss@273.06 frag@109.01 loss@330.06 frag@182.01 loss@64.02 frag@115.06 loss@111.14 frag@155.98 frag@82.03 frag@175.03,0.07904237509 0.07694137841 0.05700837076 0.02508526109 0.01633095182 0.0093394164 0.008913196623 0.006321635563 0.004861066118 0.004420748446 0.004196633585 0.004141055979 0.003246715292 0.00314360112 0.003126111813 0.003123756032 0.003025473328 0.003019757336 0.002853710903 0.002850002609
19,frag@81.03 frag@53.04 loss@267.99 loss@236.04 loss@248.06 loss@228.07 loss@367.12 loss@319.98 loss@254.04 loss@256.97 loss@367.05 loss@287.06 loss@313.1 loss@245.03 loss@204.0 loss@271.05 loss@256.07 loss@266.12 loss@382.17 loss@153.04,0.3418093622 0.05281628668 0.02660934627 0.02616589516 0.02595629357 0.016750779 0.01533331256 0.01344856992 0.01051215921 0.008445507847 0.008340156637 0.007229939569 0.006786903366 0.005888548214 0.00577681791 0.005356868729 0.004424150568 0.004324893933 0.004020540044 0.00381890079
20,frag@139.03 loss@164.06 loss@210.08 loss@198.08 frag@125.0 loss@210.06 loss@166.02 loss@245.09 frag@259.03 frag@135.06 frag@113.02 frag@164.06 frag@270.04 loss@178.09 frag@125.02 loss@179.01 frag@144.04 frag@275.19 frag@125.01 loss@207.04,0.2550779581 0.09518244863 0.09023423493 0.06345230341 0.04127174243 0.01579678431 0.0155392196 0.009239068255 0.00679096207 0.006420301739 0.006235173438 0.006211770698 0.004913296551 0.004863732029 0.004735821858 0.004298573826 0.004063058645 0.003664910095 0.003283312311 0.003194099991
21,frag@225.07 frag@197.07 frag@198.08 loss@120.05 loss@167.02 frag@170.06 loss@146.05 loss@168.06 loss@221.98 loss@172.1 frag@170.08 frag@156.08 frag@168.07 loss@118.11 frag@169.08 loss@165.05 frag@179.06 frag@154.06 frag@210.13 frag@188.07,0.1024454385 0.0925623402 0.07875113189 0.05291715264 0.007300578058 0.006219187286 0.004415108822 0.003354432527 0.003340808675 0.003169663483 0.00307865371 0.0024995571 0.002416392788 0.002401657403 0.002351413248 0.002290453995 0.002278621076 0.002185771475 0.002160202479 0.002158929594
22,loss@118.04 frag@291.15 loss@144.02 frag@81.02 frag@106.04 frag@63.02 frag@117.04 frag@65.04 frag@208.11 loss@102.0 frag@77.04 frag@105.04 frag@106.07 frag@51.02 loss@101.04 frag@213.96 frag@95.05 frag@117.03 frag@144.96 frag@306.11,0.2246740013 0.03047778457 0.02110636048 0.01095173787 0.008664549328 0.007442111615 0.007241093554 0.006463364698 0.005836031865 0.005683943164 0.005494342186 0.005128303077 0.004647555295 0.004495775327 0.004302431829 0.003978758119 0.003924938384 0.003882150399 0.003840374062 0.003720222041
