topic_id,top_words,top_probabilities
0,loss@163.11 frag@164.12 loss@206.15 loss@188.14 frag@268.09 frag@272.12 loss@219.01 loss@165.0 frag@107.02 frag@130.04 frag@148.09 frag@159.05 loss@379.06 loss@174.03 frag@231.12 loss@219.12 loss@176.11 loss@228.12 frag@276.07 loss@111.04,0.1606010348 0.1502433121 0.03449770063 0.03276396543 0.02763849311 0.02543408237 0.02424851432 0.02121117711 0.01754885353 0.01035282202 0.006230256986 0.005670809187 0.005583102349 0.004934597295 0.00471108919 0.004581199028 0.00448622182 0.004285674077 0.003726811847 0.00359898922
1,loss@198.07 loss@245.13 frag@151.02 frag@318.18 frag@104.06 frag@149.1 frag@336.08 frag@84.96 frag@181.12 frag@355.2 frag@308.12 frag@178.06 frag@116.96 frag@186.08 frag@123.08 frag@141.07 frag@209.14 loss@113.13 frag@105.07 loss@232.16,0.2050124258 0.09548767656 0.02532683685 0.008769999258 0.006302274298 0.005840455648 0.005243362393 0.00518255448 0.004982291721 0.004033920821 0.003687316086 0.003554401454 0.003475963138 0.003447295167 0.003396712244 0.003258784302 0.003202692838 0.003084238153 0.003050805535 0.002980370773
2,loss@175.1 frag@129.07 loss@165.07 frag@240.12 frag@133.06 frag@135.08 frag@105.07 frag@157.06 frag@147.08 frag@161.06 frag@244.13 frag@148.11 frag@239.08 loss@163.1 frag@141.08 frag@332.06 frag@190.12 frag@123.08 frag@155.08 frag@161.99,0.3050436974 0.06230250746 0.04274070263 0.02198751643 0.0191263631 0.0185007304 0.01103437133 0.01084938459 0.01019626297 0.01019512489 0.009367054328 0.009002101608 0.008352430537 0.008059926331 0.007973465137 0.00794504676 0.005883727223 0.005688854959 0.005510633346 0.004980147816
3,frag@135.03 frag@134.02 frag@163.02 loss@181.06 frag@147.03 loss@165.06 loss@320.1 frag@123.03 loss@181.04 loss@173.05 frag@161.01 frag@151.02 frag@83.03 loss@176.04 frag@58.99 frag@137.04 loss@84.0 loss@237.08 frag@84.99 loss@279.05,0.2880629003 0.01693529822 0.01351205632 0.008134062402 0.006851261016 0.006628219038 0.005856631324 0.005434497725 0.00376438885 0.003682789858 0.003662184812 0.003525934881 0.003350321669 0.002864092356 0.002836412517 0.002786857774 0.002746385057 0.002687351545 0.002633060096 0.002473464236
4,loss@120.06 loss@268.05 frag@119.06 frag@181.04 frag@167.03 frag@56.96 frag@163.02 frag@65.04 frag@309.13 frag@199.01 frag@134.02 frag@85.01 frag@145.04 frag@119.05 frag@132.06 frag@90.05 frag@309.1 frag@138.06 frag@256.14 frag@160.05,0.1863343865 0.1048854887 0.01412458811 0.01306837332 0.008643019944 0.006613391452 0.006147193257 0.005196406506 0.005096766166 0.004894003272 0.003710965393 0.003564040642 0.003434341168 0.002988923574 0.002975787502 0.002958423691 0.002861035289 0.002750581829 0.002736774506 0.002723038662
5,loss@188.07 frag@125.05 frag@172.05 frag@130.04 frag@221.11 frag@255.06 frag@218.09 frag@212.08 frag@206.08 frag@148.05 frag@304.16 frag@190.06 frag@187.1 frag@391.17 frag@175.06 frag@141.05 frag@165.02 frag@180.1 frag@158.07 frag@342.03,0.2944982052 0.04808359593 0.006911829114 0.00432058936 0.003225435037 0.003146754112 0.003130744444 0.002888140269 0.002718376694 0.002657406731 0.002614723518 0.002562104026 0.002411436057 0.002367970999 0.002332431963 0.002247527475 0.002188709099 0.002098293975 0.002068318427 0.002030767268
6,loss@163.07 loss@162.06 frag@231.12 loss@137.05 frag@209.02 frag@187.1 frag@148.08 frag@150.09 frag@120.06 frag@120.04 frag@172.07 frag@119.06 frag@225.14 frag@148.09 frag@144.04 frag@134.07 frag@168.96 frag@147.07 loss@189.08 frag@177.08,0.2204010338 0.04859345034 0.01023791544 0.009524253197 0.00785787683 0.007311727852 0.007280840073 0.006896376144 0.006359112915 0.006176841911 0.006048247218 0.005782516673 0.005125280935 0.004471754655 0.004278934095 0.004244325683 0.004121630453 0.003960500937 0.003919726238 0.003879430005
7,frag@120.08 loss@267.1 loss@239.06 loss@312.06 loss@240.11 loss@186.05 loss@207.09 loss@355.02 frag@79.05 loss@237.17 loss@169.05 loss@287.12 loss@212.98 loss@255.13 frag@105.07 loss@254.1 frag@109.06 frag@138.09 frag@120.09 frag@121.09,0.3783304989 0.05045352131 0.04052256793 0.0234267991 0.01022418682 0.008704588749 0.008628180251 0.008590355515 0.006600145251 0.005293580703 0.005130900536 0.00467004953 0.00445329072 0.004207879305 0.004045098089 0.003780446481 0.003778530983 0.003694473533 0.0033549082 0.003300538054
8,loss@125.04 loss@282.06 frag@174.06 frag@87.04 frag@255.06 frag@276.01 frag@297.16 frag@309.14 frag@179.03 frag@186.07 frag@172.04 frag@269.13 frag@204.11 frag@122.04 loss@114.07 frag@175.06 loss@91.95 frag@126.06 loss@158.06 frag@243.06,0.1165582016 0.1071586087 0.01277485676 0.008456962183 0.006415859796 0.005790042225 0.00238423585 0.002351643052 0.00233219564 0.002046896843 0.002016814891 0.001983393449 0.001946156495 0.001876952359 0.001866671257 0.001858145348 0.001845018938 0.00180783309 0.001736880862 0.001723761321
9,frag@205.04 loss@250.06 frag@204.06 frag@319.07 loss@273.07 loss@128.01 loss@191.05 frag@164.04 frag@151.96 loss@169.06 frag@175.03 loss@266.09 loss@290.11 loss@254.01 frag@170.08 frag@257.13 loss@264.05 loss@309.18 loss@153.04 frag@244.11,0.2888219059 0.1529701501 0.002663851948 0.002143594669 0.001759909443 0.001731845434 0.001604864141 0.001546064974 0.00150084577 0.001413935213 0.001334422384 0.001309035229 0.001237868913 0.001185827656 0.001180946943 0.001142425463 0.001135162311 0.001106088515 0.00106248213 0.001052912441
