seed,K,method,nll,beta_cosine,theta_cosine,top_accuracy,planted_recovered_ge_0_5,median_effective_topics,mean_effective_topics,median_exact_support,mean_exact_support,p95_exact_support,fraction_support_le_3,active_gt_0_005,active_gt_0_0005,corpus_effective_topics,maximum_mean_usage,mean_nearest_beta_cosine,maximum_beta_cosine,unique_top1,finite,training_seconds
11,36,balanced_etm_softmax_raw_counts,6.473332559765581,0.31136155128479004,0.49684555271654496,0.475,3,3.247845948201836,4.233890641184407,36,36,36,0,8,36,9.822544414714347,0.21150162712693144,0.8863229751586914,0.9939395189285278,7,True,4.449045330999979
23,36,balanced_etm_softmax_raw_counts,6.426710794232783,0.3105216324329376,0.5039217803904027,0.49375,5,3.9045797905323862,4.4752610628923355,36,36,36,0,8,36,10.664459140221041,0.17958462852245502,0.8688919544219971,0.9944061040878296,7,True,4.214516451999998
37,36,balanced_etm_softmax_raw_counts,6.512884856748311,0.29370394349098206,0.4597940329280103,0.425,3,3.6066118243268135,4.726948418341145,36,36,36,0,8,36,9.30755002813402,0.2603158328824533,0.9029768705368042,0.994678258895874,6,True,4.4057958149999195
11,36,balanced_etm_entmax15_raw_counts,6.616673438290829,0.2503172755241394,0.4030552752849328,0.38125,2,1.816062952780301,1.9015267405479856,3,2.8375,5,0.69375,5,5,4.266069932262453,0.35516987388282334,0.9301214218139648,0.9954700469970703,4,True,4.77716848
11,36,balanced_etm_sparsemax_raw_counts,6.646455910712343,0.25735774636268616,0.3821526660914551,0.35,3,1.8966041600986387,1.9358929108777096,2,2.375,4,0.93125,4,5,3.577228655006593,0.3588242833369101,0.9368597865104675,0.9948179125785828,4,True,4.745766863999961
11,36,balanced_etm_softmax_distinct_words,6.41521212670856,0.4508982300758362,0.6681069265889967,0.64375,5,28.593067244035154,24.073323195763955,36,36,36,0,36,36,31.029526712521903,0.11368557795726253,0.8722363710403442,0.9948847889900208,14,True,4.376848228000199
23,36,balanced_etm_softmax_distinct_words,6.5314167993848455,0.36825090646743774,0.5039904438131171,0.44375,4,34.387185190456066,30.029741363450103,36,36,36,0,36,36,34.05923725406818,0.07275811993190243,0.8908718824386597,0.9834125638008118,13,True,4.281717949999802
37,36,balanced_etm_softmax_distinct_words,6.395404047883748,0.4336698651313782,0.6161714507249456,0.6125,5,30.026830669456636,25.718816709780462,36,36,36,0,36,36,32.67689287426186,0.07792191649941618,0.8379114270210266,0.9941373467445374,15,True,4.438956961000031
11,36,balanced_etm_entmax15_distinct_words,6.404665606934739,0.4649931490421295,0.7402938015613021,0.7,8,1,4.276098887752336,1,8.46875,36,0.725,18,36,13.45452657307463,0.20839031722794316,0.8837224841117859,0.9959514737129211,13,True,5.562735612999859
23,36,balanced_etm_entmax15_distinct_words,6.373106244052345,0.43893516063690186,0.6910986324868458,0.6625,6,1,3.065486512498658,1,10.74375,36,0.65,11,36,11.843863352752004,0.2145899292307072,0.9215084910392761,0.9884693026542664,10,True,5.392057531000319
37,36,balanced_etm_entmax15_distinct_words,6.381085895864499,0.4598952531814575,0.7953469298853904,0.76875,9,1,3.516125857832145,1,9.2875,35,0.66875,15,36,12.628322712053805,0.21909132829027705,0.8732089400291443,0.9930281639099121,12,True,5.407075566999993
