topic_id,top_words,top_probabilities
0,frag@97.04 frag@108.04 frag@94.06 frag@68.05 frag@80.05 frag@110.06 frag@120.04 frag@92.05 frag@99.06 frag@109.08 frag@122.06 frag@126.04 loss@235.11 frag@126.05 frag@96.04 frag@139.03 frag@137.07 loss@211.04 frag@53.04 frag@122.1,0.006767419167 0.006291790865 0.005363423843 0.0053312378 0.005180925597 0.004475583788 0.004451753572 0.003931107465 0.003886609571 0.003810632508 0.003383270698 0.003293509129 0.003259895602 0.003211939242 0.003182776505 0.003125995863 0.002994887298 0.002969769994 0.00295635825 0.002826704644
1,frag@180.08 frag@190.06 frag@189.07 frag@167.07 frag@169.11 loss@143.09 loss@97.09 loss@153.12 frag@211.01 frag@166.04 loss@111.07 frag@219.08 frag@98.98 loss@96.07 frag@152.06 frag@344.21 loss@125.08 loss@155.09 loss@127.1 frag@153.07,0.001187841408 0.001007402316 0.0009941102471 0.0009884900646 0.0009022715967 0.0008450677851 0.0007931845612 0.0007886157837 0.0007732089725 0.0007492263103 0.0007475765888 0.0007472496945 0.0007472413708 0.0007357487921 0.0007334751426 0.0007281836006 0.000722751196 0.0007026385865 0.0006975352881 0.0006824168377
2,frag@119.06 frag@134.06 frag@132.06 frag@105.06 frag@131.06 frag@120.06 frag@106.07 frag@132.07 frag@105.04 frag@133.08 frag@133.06 frag@120.04 frag@106.06 frag@104.05 frag@145.08 frag@148.08 frag@199.12 frag@130.03 frag@146.07 frag@121.04,0.003909956198 0.003862366313 0.003766320879 0.003450708464 0.003350445535 0.003103721887 0.003068767954 0.003022882855 0.002773543121 0.00266235997 0.002629242605 0.002548919059 0.002521728165 0.002286578529 0.002279995475 0.002272321843 0.002210529288 0.002174730645 0.002121769823 0.002102872124
3,frag@67.05 frag@43.02 frag@97.06 frag@79.05 frag@85.06 frag@69.03 frag@81.07 frag@93.03 frag@55.02 loss@185.11 frag@58.03 frag@57.03 frag@81.03 frag@110.1 frag@93.07 frag@84.08 frag@156.14 frag@83.05 frag@111.04 frag@41.04,0.01474708505 0.009397761896 0.008489841595 0.004539409652 0.00418864144 0.004123989958 0.004080321174 0.004000349902 0.003548799548 0.003469547257 0.003174946411 0.002885047346 0.002700350014 0.002693001879 0.002522303723 0.002458097646 0.002387846122 0.002324759495 0.002307795454 0.002285943367
4,frag@120.04 frag@108.04 frag@80.05 frag@97.04 frag@92.05 frag@96.04 frag@139.03 frag@94.06 frag@110.06 frag@107.06 loss@211.04 frag@122.1 frag@126.04 frag@137.07 frag@135.06 frag@126.05 frag@109.08 frag@231.12 frag@69.04 frag@93.03,0.006209420506 0.006115726661 0.004735020921 0.004016948864 0.003734652419 0.003243305488 0.003191644792 0.002930199727 0.002816906897 0.002772697946 0.002693418879 0.002561044879 0.002476963447 0.00245850347 0.002343940083 0.002289930824 0.002257860731 0.002035752172 0.001981083769 0.001970393118
5,frag@132.08 frag@130.06 frag@146.06 frag@142.07 frag@172.08 frag@130.07 frag@158.06 frag@171.09 frag@160.08 frag@174.09 frag@159.09 frag@173.07 frag@157.08 frag@144.08 frag@159.07 loss@174.08 frag@170.06 frag@188.07 frag@131.07 frag@145.09,0.01264271792 0.01095670462 0.01093388721 0.01009562332 0.009871190414 0.009656715207 0.009633407928 0.009118152782 0.009012473747 0.008852563798 0.008070858195 0.007895506918 0.007454514038 0.006908244919 0.006210069172 0.006169667933 0.00615150528 0.005501446314 0.005398579873 0.005178439431
6,frag@180.08 frag@181.06 frag@189.07 frag@152.06 frag@153.07 loss@117.12 frag@167.07 frag@225.1 frag@165.07 loss@155.09 frag@146.02 loss@143.09 loss@117.08 frag@72.04 frag@169.11 loss@127.1 loss@124.06 frag@151.05 loss@136.08 loss@145.11,0.001745561836 0.00137345132 0.001255483832 0.001184924506 0.001127202995 0.001048220787 0.001038832474 0.001008603489 0.0009933711262 0.0009745997959 0.0009623871883 0.0009505469352 0.0009262645035 0.0008844081894 0.0008830376901 0.0008732441347 0.0008384198882 0.0008334318409 0.000802192546 0.0007937463815
7,loss@143.09 loss@153.12 loss@155.09 frag@83.09 loss@97.09 loss@170.11 loss@129.12 loss@127.1 loss@125.08 loss@111.07 loss@141.15 loss@115.1 loss@126.07 frag@167.07 frag@72.04 loss@107.11 frag@69.07 loss@141.08 frag@276.01 frag@98.98,0.00304453657 0.002838645596 0.002407996217 0.002038799459 0.002012676559 0.00192030624 0.001917582587 0.001913715503 0.001875938033 0.001769387047 0.001762305619 0.001761266845 0.001673627412 0.001642806106 0.00163749198 0.001603308367 0.001581928576 0.001581770019 0.001570009277 0.001509913593
8,loss@159.08 frag@156.07 frag@143.06 frag@125.03 frag@258.1 frag@290.14 frag@303.1 frag@192.06 loss@96.07 frag@189.07 loss@157.06 frag@186.04 frag@180.08 loss@138.08 frag@168.07 frag@245.11 frag@287.1 frag@153.01 frag@209.07 loss@76.02,0.001171103679 0.0009424697491 0.0009317309014 0.0009096354479 0.0009025696781 0.0008800926153 0.0008745636442 0.0008407207788 0.0008373121382 0.0007938874187 0.0007758222055 0.0007329648361 0.0007253122167 0.0007174442289 0.0007063701632 0.0006930389791 0.0006786551094 0.0006748256856 0.0006633773446 0.0006619467167
9,frag@151.05 loss@159.08 frag@169.11 frag@192.06 frag@238.13 frag@153.01 frag@143.06 frag@303.1 frag@290.14 frag@356.08 frag@241.1 loss@166.97 frag@207.08 frag@189.07 frag@134.02 loss@191.07 frag@180.08 loss@136.03 frag@153.04 frag@216.08,0.001185608911 0.001059299684 0.001051327214 0.0008486415609 0.0008351147408 0.0008256553556 0.0008081547567 0.0008005417185 0.0007801654865 0.0007739694556 0.0007584294071 0.0007511502481 0.0007379895542 0.0007320944569 0.0007220936823 0.0006982058403 0.0006943808985 0.0006939003943 0.0006881197914 0.0006853513187
