topic_id,top_words,top_probabilities
0,loss@179.04 frag@259.11 frag@271.11 loss@152.01 frag@268.09 frag@216.1 frag@240.11 frag@377.07 frag@212.08 frag@171.06 frag@211.98 frag@275.12 frag@216.08 frag@267.12 loss@134.08 frag@51.03 frag@180.1 loss@84.02 frag@292.11 frag@188.08,0.2058064938 0.07219097763 0.05190424994 0.04313896969 0.01783650555 0.00307622226 0.002940164879 0.002924876753 0.002608034527 0.002553616418 0.002476837486 0.002307135379 0.002292229794 0.002124790335 0.001929922611 0.001918059424 0.001717004809 0.001602622215 0.001599264215 0.001585061196
1,frag@73.01 loss@199.1 loss@200.03 loss@246.16 frag@323.11 frag@297.18 loss@256.1 frag@44.98 frag@150.13 loss@181.18 frag@172.03 frag@157.96 loss@178.07 frag@236.11 loss@107.11 frag@145.02 loss@182.01 loss@154.9 frag@143.01 loss@197.08,0.2267588824 0.1444375366 0.05885794386 0.01088591106 0.006567166653 0.005307719577 0.005283287261 0.004885892384 0.004591508303 0.004052009434 0.003533510957 0.003196489299 0.002453018911 0.002435902832 0.002299211686 0.002221874893 0.00220563449 0.002123401035 0.002122652484 0.002103153383
2,loss@121.09 loss@165.07 frag@189.08 frag@170.98 frag@329.12 frag@244.13 frag@162.09 frag@122.1 frag@336.17 frag@190.12 frag@133.06 frag@199.02 frag@409.2 frag@292.13 frag@175.04 frag@378.19 frag@107.07 frag@229.13 frag@175.09 loss@149.08,0.2255535722 0.06724534929 0.01977610029 0.01611827128 0.007288926281 0.006652653217 0.006218119059 0.00572862057 0.00560851302 0.00551698124 0.005134313833 0.005057442933 0.004935239442 0.004516516346 0.004413499031 0.004091527313 0.004031122196 0.003924657591 0.003793241689 0.003649487393
3,frag@198.1 frag@219.1 loss@197.1 frag@200.12 loss@269.05 frag@214.13 frag@130.97 loss@173.1 frag@230.08 frag@212.12 loss@269.15 frag@172.09 frag@158.07 loss@333.12 loss@95.04 loss@138.1 frag@190.09 loss@113.04 loss@201.13 loss@78.05,0.1620293707 0.05911532417 0.03853859752 0.03161645308 0.006954012904 0.006681337953 0.006085081026 0.005136186723 0.005003394093 0.004331858829 0.004280312918 0.004219977651 0.004047210794 0.003963074647 0.003738358617 0.003547581844 0.003438611748 0.003237190424 0.003185747424 0.002753765788
4,frag@45.03 loss@247.06 frag@87.04 loss@364.08 loss@186.04 loss@218.04 frag@101.02 loss@105.04 frag@173.95 loss@227.15 loss@268.1 loss@445.16 loss@107.11 loss@287.09 loss@298.04 loss@280.09 loss@259.11 loss@205.02 loss@120.06 frag@55.02,0.3065772951 0.007832516916 0.004299617372 0.003702325048 0.003291919129 0.003120636102 0.002740326338 0.002535327105 0.002476788592 0.002340326319 0.002194286091 0.002086130902 0.002034374746 0.001922474592 0.001917953137 0.001875733491 0.00186651689 0.001834227238 0.001802651677 0.001784739783
5,frag@172.05 loss@164.07 frag@144.06 loss@95.0 loss@141.06 frag@351.18 frag@134.06 frag@145.04 frag@146.07 frag@144.04 loss@179.09 loss@188.07 loss@137.08 frag@231.12 frag@157.06 frag@171.05 loss@165.08 frag@121.01 loss@175.11 frag@199.12,0.2386613786 0.1770962477 0.0569964163 0.0182341598 0.01301264018 0.009307484142 0.007455875166 0.007277389523 0.005196788814 0.004332933575 0.0041102916 0.004099852405 0.00383981457 0.003336811438 0.003071100684 0.003067516489 0.003041018266 0.00297699729 0.002944270382 0.002917254576
6,loss@163.07 loss@162.06 frag@231.12 frag@150.09 frag@119.06 frag@148.08 frag@120.06 frag@120.04 frag@187.1 frag@209.02 loss@137.05 frag@225.14 frag@177.08 frag@148.09 frag@147.07 frag@176.08 frag@144.04 frag@168.96 frag@134.07 frag@190.09,0.2371997237 0.05291732773 0.009191419929 0.008138931356 0.007554472424 0.007467467804 0.007342852186 0.00635619089 0.006219424307 0.006189906504 0.006149981171 0.005796024576 0.005004680716 0.004843373783 0.004841263406 0.004652020056 0.004598408006 0.004497587681 0.004377524834 0.004251058679
7,loss@243.02 loss@288.06 frag@329.11 frag@341.19 frag@374.15 loss@340.97 loss@188.98 loss@78.09 frag@112.11 loss@338.06 loss@267.03 loss@215.08 loss@105.06 frag@239.15 frag@194.05 frag@288.12 loss@164.05 loss@88.02 frag@270.11 frag@364.13,0.1273283213 0.09148393571 0.08189035952 0.05111633241 0.03871646151 0.008120459504 0.005348836537 0.005271630827 0.005097801797 0.004178964067 0.003356129397 0.003176987404 0.002995228861 0.002909246366 0.002901680535 0.002790777013 0.002731131623 0.002682202263 0.002534497995 0.002445121994
8,loss@191.13 loss@265.12 loss@255.11 loss@286.09 frag@110.02 frag@190.12 frag@185.07 frag@159.08 frag@133.07 frag@126.06 frag@189.05 loss@373.12 frag@161.1 frag@146.12 frag@195.05 loss@258.15 frag@174.06 frag@198.06 frag@215.12 frag@99.08,0.1281116456 0.06732530892 0.0538751483 0.04557235539 0.01834268682 0.009838378057 0.009798046201 0.009329195134 0.00931680575 0.008908818476 0.008902154863 0.007814167067 0.007682620548 0.006715215277 0.006245605182 0.006020360161 0.005657205358 0.005270410329 0.005141434725 0.00512452703
9,frag@205.04 loss@250.06 frag@204.06 frag@319.07 loss@132.09 loss@128.01 loss@169.06 frag@163.03 loss@191.05 frag@175.03 loss@187.03 loss@273.07 frag@151.96 loss@153.04 loss@174.06 loss@266.09 frag@72.98 loss@321.15 frag@160.02 frag@164.04,0.2975029051 0.1538358927 0.003485473106 0.002809927333 0.002211846644 0.002124660881 0.002052956261 0.001764939749 0.001722755609 0.001669179182 0.001618906157 0.0015181083 0.001452019438 0.001281431643 0.00123683596 0.001224222011 0.001208496164 0.001186738722 0.001163928537 0.001152754296
10,loss@166.1 frag@208.02 frag@218.15 frag@175.11 frag@173.1 frag@236.15 loss@136.09 loss@215.12 frag@173.95 frag@241.99 frag@172.02 frag@229.13 frag@319.16 frag@397.07 frag@138.09 frag@136.05 frag@238.12 frag@142.12 frag@216.13 frag@230.98,0.2461195886 0.009644750506 0.006682178937 0.003958086018 0.003443187568 0.00311106164 0.002905463334 0.002655109158 0.002642713254 0.002342642052 0.002288958058 0.002022897126 0.002018282888 0.001678436412 0.001670124242 0.001660795067 0.001646273769 0.001625377685 0.001611468266 0.001592437387
