model,parameter_count,complexity_rank,validation_nll_mean,validation_nll_sd,test_nll_mean,test_nll_sd,mean_topic_cosine_mean,mean_topic_cosine_sd,anchor_recall_mean,anchor_recall_sd,recovered_fraction_mean,recovered_fraction_sd,theta_cosine_mean,theta_cosine_sd,validation_active_fraction_mean,validation_active_fraction_sd,sparse_test_nll_mean,chimeric_test_nll_mean,shifted_test_nll_mean,fitting_seconds_mean,fitting_seconds_sd
pooled_shared_none,952,1,4.475938816340188,0.019748970414703335,4.4787034894833555,0.026519133639305317,0.7481558033937795,0.02458869765416804,0.748263888888889,0.023485675795952517,0.7916666666666666,0.041666666666666685,0.8044757048288981,0.03492072239094539,0.8333333333333334,0.07434521426664761,4.476390108696677,4.891585458053384,4.858084921507337,1.5274019209999399,0.03199744927021636
pooled_shared_mi_weak,952,2,4.495488011673371,0.052680299311814366,4.500938464675095,0.06104079182977212,0.7197406566055077,0.05723824219416539,0.7204861111111112,0.0699417954114017,0.75,0.08333333333333337,0.7746291756629944,0.08200707472255843,0.8095238095238096,0.07434521426664763,4.495725321328763,4.910414351317875,4.875283017013671,1.6763675040000028,0.07857481765154355
pooled_projected_none,3968,3,4.176791360304509,0.04678947920159011,4.194879733630776,0.047764520617279406,0.8356134658129627,0.08277191105576273,0.829861111111111,0.08483883140882374,0.875,0.07216878364870323,0.8366288145383199,0.07797979894125086,0.8571428571428571,0.07142857142857145,4.17550153896108,4.6544645996870715,4.73958766483152,1.95165519833328,0.10383871148934688
pooled_projected_mi_weak,3968,4,4.172329561702054,0.04333907315264446,4.1892874275136895,0.04648215224611261,0.8543634698176499,0.07520511757247353,0.8506944444444445,0.07835613955831082,0.888888888888889,0.06364688465216445,0.8512038191159567,0.06813967307776644,0.869047619047619,0.05455447255899813,4.165888721051478,4.66834800727795,4.750198102070029,2.0716237729999043,0.193296108185536
pooled_untied_none,1904,5,4.351652871827273,0.00782921520382214,4.352062319327421,0.004477181622200671,0.8502772475282351,0.00521461510133081,0.8472222222222223,0.016742449237835005,0.8888888888888888,0.024056261216234387,0.8701108892758688,0.014068939650539661,0.8690476190476191,0.10309826235529033,4.342629284807121,4.799226536303092,4.754406339299839,1.4060229800000645,0.18228795871547848
pooled_untied_mi_weak,1904,6,4.340478496750806,0.009647315536264082,4.342599469278805,0.012616256981306466,0.8624479764451584,0.015049276814381073,0.8663194444444445,0.014342631633557545,0.9027777777777777,0.024056261216234387,0.879628598690033,0.008312232333124368,0.8690476190476191,0.07434521426664763,4.3327934398549806,4.793652575701786,4.74818042817749,1.4788105916665397,0.06924923279368188
etm_vae,37552,8,5.005890451965457,0.07100409078714405,5.018310531450167,0.10669635582402792,0.7246172370182143,0.08585517679802886,0.7161458333333334,0.11753420933746622,0.6666666666666666,0.18162078931419473,0.6847469607988993,0.096684866939289,0.6309523809523809,0.10309826235529032,5.01169621649998,5.30076574201437,5.2764057876015436,1.0868554819999947,0.0853045534779122
m1_current_like,12160,9,4.269306304000044,0.03596517424317886,4.292460355977752,0.03487941545155677,0.8197841735026384,0.03690220355273853,0.8289930555555555,0.04482899768637284,0.8611111111111112,0.048112522432468774,0.8397821187973022,0.039120093950293186,0.9285714285714285,0.06185895741317416,4.26941044548484,4.704429231587774,4.871363106550139,8.4715564943333,2.919759893774888
pooled_shared_mi,952,2,4.5027516552034745,0.05314830171192251,4.511076382533455,0.06140269260502664,0.708814540024226,0.05751070759150536,0.709201388888889,0.06610344223436083,0.75,0.08333333333333337,0.7687679330507914,0.08786092957781277,0.7976190476190476,0.08987898137227084,4.503598339102553,4.923991480930137,4.887582613450874,1.5624747216666037,0.032660826697018336
pooled_shared_mi_sep,952,4,4.527736201537386,0.05834546119857556,4.54082577948419,0.06504957290717013,0.6714114180067554,0.05943614577015907,0.6631944444444445,0.0935085625659391,0.6527777777777778,0.10485881160098265,0.732660194238027,0.08741119379615547,0.75,0.06185895741317416,4.5296875753739565,4.947092412540229,4.911278677703849,1.7702685433334107,0.04904215191896476
pooled_untied_mi,1904,6,4.349596649768581,0.020506577428070858,4.351434229207141,0.020429170915349622,0.857284254497952,0.01972762356817513,0.8628472222222223,0.01847551792863952,0.9027777777777777,0.024056261216234387,0.8654295603434244,0.009697458481570961,0.8452380952380952,0.05455447255899812,4.339608613723033,4.805910099103447,4.754272916016297,1.7328233170000356,0.26014198832261065
