run,data,seed,topics,variant,normalization_statistics,reused_training_weights,epochs,momentum,count_scaling,concentration,completion_nll,median_effective_topics,unique_top1_topics,corpus_effective_topics,nearest_beta_cosine,catastrophic_duplicate,beta_recovery,theta_recovery,recovered_motifs,training_seconds,parameters,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos
fixed_scale/seed11_k128_batchnorm_fixed,synthetic,11,128,batchnorm_fixed,ema,False,120,0.9,raw_counts,,7.361292205119957,1.0,1,1.0,0.9179126024246216,False,0.6698410511016846,0.0,16,12.284355781997874,2319712,,,,
fixed_scale/seed11_k128_prior_batchnorm_fixed,synthetic,11,128,prior_batchnorm_fixed,ema,False,120,0.9,raw_counts,0.02,6.240758492982172,17.85614284720367,33,74.70048156032367,0.9845824241638184,False,0.6479988694190979,0.9699217130084566,15,11.87353070899917,2319712,,,,
fixed_scale/seed23_k128_batchnorm_fixed,synthetic,23,128,batchnorm_fixed,ema,False,120,0.9,raw_counts,,7.138041194725559,1.1971999349631277,1,1.267539806955008,0.8973165154457092,False,0.6427730321884155,0.0,17,11.72010383000088,2302112,,,,
fixed_scale/seed23_k128_prior_batchnorm_fixed,synthetic,23,128,prior_batchnorm_fixed,ema,False,120,0.9,raw_counts,0.02,6.21039008239703,17.417190951966518,32,65.05944608424605,0.9825096130371094,False,0.6276482343673706,0.9357110707957418,14,11.67200207499991,2302112,,,,
fixed_scale/seed37_k128_batchnorm_fixed,synthetic,37,128,batchnorm_fixed,ema,False,120,0.9,raw_counts,,7.383593431570594,1.0000000000000002,1,1.0000000000000002,0.9041141271591187,False,0.6513190269470215,0.0,17,12.106459127000562,2318912,,,,
fixed_scale/seed37_k128_prior_batchnorm_fixed,synthetic,37,128,prior_batchnorm_fixed,ema,False,120,0.9,raw_counts,0.02,6.259094809513931,19.756559982454192,33,67.20214513064026,0.9772981405258179,False,0.6505952477455139,0.9448193682964462,16,6.886182380996615,2318912,,,,
fixed_scale_calibrated/seed11_k128_batchnorm_fixed,synthetic,11,128,batchnorm_fixed,training,True,120,0.9,raw_counts,,6.121532124050415,25.525213943335526,30,63.76570320305583,0.9179126024246216,False,0.6698410511016846,0.9378814773949742,16,12.284355781997874,2319712,,,,
fixed_scale_calibrated/seed11_k128_prior_batchnorm_fixed,synthetic,11,128,prior_batchnorm_fixed,training,True,120,0.9,raw_counts,0.02,6.242704627786895,18.684728890364223,29,75.34314489556749,0.9845824241638184,False,0.6479988694190979,0.9713897076524182,15,11.87353070899917,2319712,,,,
fixed_scale_calibrated/seed23_k128_batchnorm_fixed,synthetic,23,128,batchnorm_fixed,training,True,120,0.9,raw_counts,,6.0602121316328725,21.07497848592004,29,58.719941128960194,0.8973165154457092,False,0.6427730321884155,0.8649562045064443,17,11.72010383000088,2302112,,,,
fixed_scale_calibrated/seed23_k128_prior_batchnorm_fixed,synthetic,23,128,prior_batchnorm_fixed,training,True,120,0.9,raw_counts,0.02,6.210230483699458,19.675956325676104,35,66.75790734185667,0.9825096130371094,False,0.6276482343673706,0.9366786330762731,14,11.67200207499991,2302112,,,,
fixed_scale_calibrated/seed37_k128_batchnorm_fixed,synthetic,37,128,batchnorm_fixed,training,True,120,0.9,raw_counts,,6.147142311785623,24.187783510458544,29,58.43814163698292,0.9041141271591187,False,0.6513190269470215,0.8639558063724067,17,12.106459127000562,2318912,,,,
fixed_scale_calibrated/seed37_k128_prior_batchnorm_fixed,synthetic,37,128,prior_batchnorm_fixed,training,True,120,0.9,raw_counts,0.02,6.255124597432185,20.016626458996477,36,68.86633545517407,0.9772981405258179,False,0.6505952477455139,0.9394387338800477,16,6.886182380996615,2318912,,,,
high_k/seed11_batchnorm,synthetic,11,128,batchnorm,ema,False,120,0.99,raw_counts,,6.167188865703772,3.1565027749600088,26,35.77355619153342,0.9243934154510498,False,0.6642030477523804,0.9596435541583196,15,2.3080136380012846,2319712,,,,
high_k/seed11_contextual,synthetic,11,128,contextual,not_applicable,False,120,0.99,raw_counts,,6.151853946682038,1.5113909026638934,21,17.639083605766704,0.8956810235977173,False,0.663130521774292,0.9457391970367983,16,3.14454339599979,2319201,,,,
high_k/seed11_etm,synthetic,11,128,etm,not_applicable,False,120,0.99,raw_counts,,6.48330004700811,3.8913466269758246,7,18.298509124450916,0.9724147319793701,False,0.415065199136734,0.5206528169786993,6,2.118954205998307,2319200,,,,
high_k/seed11_prior_batchnorm,synthetic,11,128,prior_batchnorm,ema,False,120,0.99,raw_counts,0.02,6.177293825246975,2.5055418877486715,27,38.63416474899544,0.9660485982894897,False,0.6593469381332397,0.962947240959193,16,2.319536518996756,2319712,,,,
momentum09/seed11_k128_batchnorm,synthetic,11,128,batchnorm,ema,False,120,0.9,raw_counts,,6.066112517444423,3.412237329381311,21,30.957384265535385,0.9036314487457275,False,0.6763255000114441,0.960074374786273,16,2.1935839819998364,2319712,,,,
momentum09/seed11_k128_contextual,synthetic,11,128,contextual,not_applicable,False,120,0.9,raw_counts,,6.125390119414754,1.3986201642740699,19,15.311611307966007,0.8992124795913696,False,0.6643391847610474,0.9464932700344759,18,3.131380724000337,2319201,,,,
momentum09/seed11_k128_etm,synthetic,11,128,etm,not_applicable,False,120,0.9,raw_counts,,6.435976666342452,3.814221412130416,7,12.203730894078904,0.9661113023757935,False,0.3645068407058716,0.5519240262437263,5,2.108839581000211,2319200,,,,
momentum09/seed11_k128_prior_batchnorm,synthetic,11,128,prior_batchnorm,ema,False,120,0.9,raw_counts,0.02,6.079026509998587,1.961967381883244,21,22.800574003922215,0.9471588134765625,False,0.6783433556556702,0.9618595713328564,16,2.216716135000752,2319712,,,,
momentum09/seed11_k36_batchnorm,synthetic,11,36,batchnorm,ema,False,120,0.9,raw_counts,,6.1162729750500215,2.8888921627457598,17,17.983729690292396,0.6970975399017334,False,0.5703925490379333,0.8649303474975916,11,1.801351299000089,2167544,,,,
momentum09/seed11_k36_contextual,synthetic,11,36,contextual,not_applicable,False,120,0.9,raw_counts,,6.273801661111527,1.9693231281873613,14,12.031690374442913,0.7412050366401672,False,0.49752315878868103,0.7692402949528573,10,3.025962449999497,2167401,,,,
momentum09/seed11_k36_etm,synthetic,11,36,etm,not_applicable,False,120,0.9,raw_counts,,6.4628209401555585,3.4720260539084844,7,10.152886495160505,0.8841820359230042,False,0.3109358251094818,0.49514898677341873,3,1.6980372240032011,2167400,,,,
momentum09/seed11_k36_prior_batchnorm,synthetic,11,36,prior_batchnorm,ema,False,120,0.9,raw_counts,0.02,6.1143350430136865,2.178531552840265,16,17.406318677132305,0.7528723478317261,False,0.5898898839950562,0.8752757683491341,13,1.8949422360019526,2167544,,,,
real/batchnorm/models/minimal_etm,MSnLib validation,42,1000,batchnorm,ema,False,120,0.9,raw_counts,,8.761380600272743,40.12795911360884,292,360.7784982560954,0.31348922848701477,False,,,,841.9153622320009,19282000,638,204,125,0.6269036492302154
real/prior_batchnorm/models/minimal_etm,MSnLib validation,42,1000,prior_batchnorm,ema,False,120,0.9,raw_counts,0.02,9.01071491680972,2.9905556622338594,56,43.069653885914846,0.9466179013252258,False,,,,844.7172537799997,19282000,617,47,26,0.6256939040451583
real/prior_batchnorm_fixed/models/minimal_etm,MSnLib validation,42,1000,prior_batchnorm_fixed,ema,False,120,0.9,raw_counts,0.02,8.781074466035935,250.854793489454,263,664.6259122043148,0.9718495607376099,False,,,,1076.9594870670007,19282000,,,,
real_calibrated/batchnorm/models/minimal_etm,MSnLib validation,42,1000,batchnorm,training,True,120,0.9,raw_counts,,8.75681897137987,39.55602260126666,288,362.2869884152955,0.31348922848701477,False,,,,841.9153622320009,19282000,638,201,123,0.6268519189106412
real_calibrated/batchnorm_fixed/models/minimal_etm,MSnLib validation,42,1000,batchnorm_fixed,training,False,120,0.9,raw_counts,,8.23132900397185,635.3301176487624,568,970.2629264696143,0.5526899099349976,False,,,,1091.104037175999,19282000,777,459,296,0.6510838764633271
