run,data,seed,training_seed,topics,variant,normalization_statistics,reused_training_weights,epochs,batch_size,hidden,learning_rate,momentum,weight_decay,count_scaling,concentration,kl_warmup_epochs,decoder,beta_meaning,framework,completion_nll,median_effective_topics,median_exact_support,p95_exact_support,unique_top1_topics,corpus_effective_topics,nearest_beta_cosine,catastrophic_duplicate,beta_recovery,theta_recovery,recovered_motifs,training_seconds,parameters,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos
real/prodlda_entmax_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,prodlda_entmax,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,9.121648266026998,2.839528797119093,5.0,28.0,207,183.8762878085937,0.6114246845245361,False,,,,169.6030352050002,23568500,900,190,118,0.6291298647896405
real/prodlda_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,prodlda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,9.00388401541293,657.3837143758147,1000.0,1000.0,846,989.7343180800655,0.4578491151332855,False,,,,164.3814426149911,23568500,621,537,332,0.6355468694491169
synthetic/seed11_k128_dirichlet_etm,synthetic,11,7012,128,dirichlet_etm,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.088376746701497,107.19558838742407,128.0,128.0,54,127.4967942443048,0.9919171333312988,False,0.25971806049346924,0.6282879901323494,0,2.8060125519987196,202728,,,,
synthetic/seed11_k128_dirichlet_lda,synthetic,11,7012,128,dirichlet_lda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.129792364560474,106.19212778670615,128.0,128.0,52,127.29516238106197,0.9951366186141968,False,0.24386705458164215,0.72401818078802,0,2.8723458669992397,431208,,,,
synthetic/seed11_k128_dvae_poe,synthetic,11,7012,128,dvae_poe,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.523895132729317,112.33660731374391,128.0,128.0,79,127.49444385706715,0.1551748514175415,False,0.3296040892601013,0.5727814296247271,2,2.926863957007299,434874,,,,
synthetic/seed11_k128_prodlda,synthetic,11,7012,128,prodlda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.842083722589813,60.67027620825942,128.0,128.0,65,121.83259634460131,0.6358642578125,False,0.7864242196083069,0.8962594631693388,18,1.7827125530020567,453980,,,,
synthetic/seed11_k128_prodlda_entmax,synthetic,11,7012,128,prodlda_entmax,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.316985530682483,3.8832177397260814,5.0,29.0,53,75.95839036002934,0.8119857311248779,False,0.8365886807441711,0.9152950749866143,18,2.1440291830076603,453980,,,,
synthetic/seed11_k36_dirichlet_etm,synthetic,11,7012,36,dirichlet_etm,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.090082637562503,29.90779220454876,36.0,36.0,26,35.64280015912985,0.9875718355178833,False,0.2493889033794403,0.5977256440258237,0,1.5251679939974565,188836,,,,
synthetic/seed11_k36_dirichlet_lda,synthetic,11,7012,36,dirichlet_lda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.127231314348649,31.018253933588397,36.0,36.0,33,35.85133577044768,0.9904496073722839,False,0.2354358583688736,0.6383790556775569,0,1.4800529229978565,253096,,,,
synthetic/seed11_k36_dvae_poe,synthetic,11,7012,36,dvae_poe,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.561493551971098,31.185915382719756,36.0,36.0,32,35.91075008751489,0.1218147799372673,False,0.5709679126739502,0.6061662240229042,13,1.521301771994331,256762,,,,
synthetic/seed11_k36_prodlda,synthetic,11,7012,36,prodlda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.823245746609589,15.412384293545003,36.0,36.0,30,34.86952796728007,0.29126057028770447,False,0.6718196868896484,0.8067008687449635,14,1.391539981996175,266760,,,,
synthetic/seed11_k36_prodlda_entmax,synthetic,11,7012,36,prodlda_entmax,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.491975001305677,1.9529412297902138,2.0,11.049999999999983,32,30.71029795330058,0.538362443447113,False,0.8001863360404968,0.9192348939776697,17,1.4197272140008863,266760,,,,
synthetic/seed23_k128_dirichlet_etm,synthetic,23,7024,128,dirichlet_etm,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.036664969117586,104.09684955424818,128.0,128.0,51,126.89056035885713,0.99225914478302,False,0.24178004264831543,0.6831180183192169,0,2.7833304919913644,200528,,,,
synthetic/seed23_k128_dirichlet_lda,synthetic,23,7024,128,dirichlet_lda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.093622334843703,101.42860541628298,128.0,128.0,49,127.53973790803833,0.9946856498718262,False,0.24454569816589355,0.7508098244669886,0,2.9100043780053966,426192,,,,
synthetic/seed23_k128_dvae_poe,synthetic,23,7024,128,dvae_poe,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.476690830212699,110.65411449022957,128.0,128.0,72,127.56246704485842,0.21479126811027527,False,0.3190038800239563,0.5694915043957399,1,2.869324506013072,429814,,,,
synthetic/seed23_k128_prodlda,synthetic,23,7024,128,prodlda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.844761610319511,53.02993564619664,128.0,128.0,65,123.02012232188173,0.6503432989120483,False,0.783927321434021,0.9081962436933807,18,1.7641120789921843,448964,,,,
synthetic/seed23_k128_prodlda_entmax,synthetic,23,7024,128,prodlda_entmax,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.289750901337923,4.54107309973875,6.0,22.049999999999983,50,74.11902760837927,0.8109766840934753,False,0.8316019773483276,0.9481898009828654,18,2.0875242009933572,448964,,,,
synthetic/seed23_k36_dirichlet_etm,synthetic,23,7024,36,dirichlet_etm,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.041269381767967,31.13882774093663,36.0,36.0,30,35.14176429241938,0.9903759360313416,False,0.22813087701797485,0.5618018075517968,0,1.4589160579926101,186636,,,,
synthetic/seed23_k36_dirichlet_lda,synthetic,23,7024,36,dirichlet_lda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.090471596202575,29.654923113203935,36.0,36.0,35,35.851150209516085,0.9910475611686707,False,0.23787707090377808,0.6966667939412714,0,1.5041453659941908,250104,,,,
synthetic/seed23_k36_dvae_poe,synthetic,23,7024,36,dvae_poe,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.499557170956695,30.569546192655412,36.0,36.0,32,35.86198622727579,0.16106469929218292,False,0.4680936634540558,0.602426258603031,9,1.5704917780094547,253726,,,,
synthetic/seed23_k36_prodlda,synthetic,23,7024,36,prodlda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.748797512665353,14.325941718869501,36.0,36.0,36,35.51283567914163,0.30678045749664307,False,0.7516944408416748,0.8739147596491946,17,1.368406984009198,263768,,,,
synthetic/seed23_k36_prodlda_entmax,synthetic,23,7024,36,prodlda_entmax,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.119268398781945,1.9369652060056772,3.0,11.049999999999983,29,29.628763706594462,0.5258176326751709,False,0.8085328936576843,0.9273628397511702,18,1.4176550429983763,263768,,,,
synthetic/seed37_k128_dirichlet_etm,synthetic,37,7038,128,dirichlet_etm,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.0631693400037525,100.35765756727575,128.0,128.0,58,127.16243984089934,0.9916656017303467,False,0.26189661026000977,0.6533028351400298,0,2.8025241720024496,202628,,,,
synthetic/seed37_k128_dirichlet_lda,synthetic,37,7038,128,dirichlet_lda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.119181546558143,106.6222465655763,128.0,128.0,59,127.67855950318643,0.9947429895401001,False,0.2432100474834442,0.7012772753121048,0,2.852254871002515,430980,,,,
synthetic/seed37_k128_dvae_poe,synthetic,37,7038,128,dvae_poe,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.539102696953357,111.35671693344196,128.0,128.0,67,127.59474369011751,0.20906032621860504,False,0.3184308111667633,0.5848170467498315,2,2.914390719990479,434644,,,,
synthetic/seed37_k128_prodlda,synthetic,37,7038,128,prodlda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.7893138304448195,64.6706243666396,128.0,128.0,68,122.58722857722057,0.6153686046600342,False,0.7432330250740051,0.8889554079416964,18,1.750466065001092,453752,,,,
synthetic/seed37_k128_prodlda_entmax,synthetic,37,7038,128,prodlda_entmax,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,,0,product_of_experts,one_hot_conditional_prototypes,pytorch_port_not_pyro_svi,6.449224064537488,4.605831325283858,6.0,19.0,56,73.9894881607121,0.822952151298523,False,0.8345969319343567,0.9061343041873421,18,2.150158193995594,453752,,,,
synthetic/seed37_k36_dirichlet_etm,synthetic,37,7038,36,dirichlet_etm,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.065498025480524,28.71793498588228,36.0,36.0,27,35.28304659188332,0.9873262047767639,False,0.246088907122612,0.5573060933541734,0,1.4555084800085751,188736,,,,
synthetic/seed37_k36_dirichlet_lda,synthetic,37,7038,36,dirichlet_lda,ema,False,120,200,100,0.001,0.9,0.0,raw_counts,0.02,100,additive_mixture,emissions,pytorch_port_not_pyro_svi,7.11762218762902,30.908365430273143,36.0,36.0,30,35.91591555892103,0.9906858801841736,False,0.2354091852903366,0.6472799009371144,0,1.5864497869915795,252960,,,,
