run,data,seed,training_seed,topics,variant,normalization_statistics,reused_training_weights,epochs,batch_size,hidden,learning_rate,momentum,weight_decay,count_scaling,concentration,kl_warmup_epochs,decoder,beta_meaning,framework,completion_nll,median_effective_topics,median_exact_support,p95_exact_support,unique_top1_topics,corpus_effective_topics,nearest_beta_cosine,catastrophic_duplicate,beta_recovery,theta_recovery,recovered_motifs,training_seconds,parameters,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,sos_count_ge_0.5,sos_count_ge_0.6,sos_count_ge_0.7,sos_count_ge_0.8,sos_count_ge_0.9
real/batchnorm_fixed_entmax_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,batchnorm_fixed_entmax,training,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.145743769356244,4.232427581177142,8.0,14.0,80,53.8748031160867,0.9201514720916748,False,,,,838.1785726690141,19282000,672,67,42,0.6267023964594355,59,42,16,7,1
real/contextual_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,contextual,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.530570618351476,3.7211997537834822,6.0,14.0,829,532.7117318828275,0.16702426970005035,False,,,,913.0393425039947,19278001,795,675,394,0.622851999432618,562,394,192,61,19
real/contextual_unbalanced_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,contextual_unbalanced,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.582112082802938,3.7979440575455996,6.0,13.0,827,526.4439529021998,0.13623443245887756,False,,,,882.3929016159964,19278001,626,524,322,0.6293367883154924,435,322,161,61,17
synthetic/seed11_k128_batchnorm_entmax,synthetic,11,7012,128,batchnorm_entmax,training,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,6.098821807609575,1.2653298724351918,2.0,6.0,19,16.10029632353487,0.9213008284568787,False,0.6774530410766602,0.9670754111508219,17,2.4212645380030153,2319712,,,,,,,,,
synthetic/seed11_k128_batchnorm_fixed_entmax,synthetic,11,7012,128,batchnorm_fixed_entmax,training,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,6.08985238352055,1.5203132227313283,3.0,9.049999999999983,20,19.06484593602136,0.9261331558227539,False,0.6777791976928711,0.9650678715393248,15,2.3696328140067635,2319712,,,,,,,,,
synthetic/seed11_k128_contextual,synthetic,11,7012,128,contextual,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,6.125390119414754,1.3986201642740699,2.0,5.0,19,15.311611307966007,0.8992124795913696,False,0.6643391847610474,0.9464932700344759,18,3.030236071004765,2319201,,,,,,,,,
synthetic/seed11_k128_contextual_unbalanced,synthetic,11,7012,128,contextual_unbalanced,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,6.112836999011908,1.4393059488046576,2.0,5.0,19,15.745057278749659,0.895665168762207,False,0.6632992625236511,0.9495792870592179,18,3.123917871998856,2319201,,,,,,,,,
synthetic/seed11_k36_batchnorm_entmax,synthetic,11,7012,36,batchnorm_entmax,training,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,6.160797757762463,1.2963377622329846,2.0,5.0,15,13.80299463552946,0.760208249092102,False,0.5823245644569397,0.8814028971414561,12,2.0729147699894384,2167544,,,,,,,,,
synthetic/seed11_k36_batchnorm_fixed_entmax,synthetic,11,7012,36,batchnorm_fixed_entmax,training,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,6.144389635318614,1.5156555160534646,3.0,7.0,15,15.259852300917903,0.7571671605110168,False,0.588565468788147,0.8756653714483157,12,1.9604506409959868,2167544,,,,,,,,,
synthetic/seed11_k36_contextual,synthetic,11,7012,36,contextual,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,6.273801661111527,1.9693231281873613,4.0,8.0,14,12.031690374442913,0.7412050366401672,False,0.49752315878868103,0.7692402949528573,10,3.1064687769976445,2167401,,,,,,,,,
