run,data,seed,training_seed,topics,variant,normalization_statistics,reused_training_weights,epochs,batch_size,hidden,learning_rate,momentum,weight_decay,count_scaling,concentration,kl_warmup_epochs,decoder,beta_meaning,framework,completion_nll,median_effective_topics,median_exact_support,p95_exact_support,unique_top1_topics,corpus_effective_topics,nearest_beta_cosine,catastrophic_duplicate,beta_recovery,theta_recovery,recovered_motifs,training_seconds,parameters,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,sos_count_ge_0.5,sos_count_ge_0.6,sos_count_ge_0.7,sos_count_ge_0.8,sos_count_ge_0.9
real/contextual_seed11/models/minimal_etm,MSnLib validation,11,7012,1000,contextual,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.536800740746713,3.771448278056315,6.0,14.0,827,532.4009338014458,0.155260369181633,False,,,,3949.8093312099954,19278001,798,662,405,0.6287307354831487,558,405,193,68,17
real/contextual_seed23/models/minimal_etm,MSnLib validation,23,7024,1000,contextual,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.551726123033077,3.7876407823501514,6.0,14.0,825,540.9086880627074,0.14812271296977997,False,,,,3707.4463125850016,19278001,788,662,370,0.621749501757373,552,370,184,62,18
real/reduced_attention_document_fixed_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,reduced_attention_document_fixed,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.057086322088125,4.001461559499812,6.0,14.0,605,347.9640187141119,0.4121655821800232,False,,,,4177.865992959007,49000,838,517,333,0.6426202115863917,438,333,181,69,23
real/reduced_document_context_fixed_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,reduced_document_context_fixed,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.45155607742488,3.6770612702166874,6.0,13.0,817,488.43402703648223,0.13656659424304962,False,,,,3638.0291298319935,19278000,818,674,379,0.619501705081995,555,379,187,71,12
real/reduced_document_context_fixed_shallow_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,reduced_document_context_fixed_shallow,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.640896469121548,3.5214592648188856,6.0,12.0,769,431.2599741933238,0.10823521763086319,False,,,,4321.115082555989,18637200,789,621,363,0.6269497420977862,507,363,199,72,15
real/reduced_document_context_seed11/models/minimal_etm,MSnLib validation,11,7012,1000,reduced_document_context,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.49975483459578,3.7498018821172203,6.0,13.0,817,507.7284348307416,0.1444566398859024,False,,,,4415.785239751014,19278001,813,671,390,0.6278144864220112,566,390,201,72,20
real/reduced_document_context_seed23/models/minimal_etm,MSnLib validation,23,7024,1000,reduced_document_context,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.54541968182055,3.7266880922720844,6.0,14.0,799,505.39049326061917,0.1477363258600235,False,,,,2682.240672503991,19278001,804,657,393,0.6316894443400348,545,393,217,80,22
real/reduced_document_context_seed42_retry1/models/minimal_etm,MSnLib validation,42,7043,1000,reduced_document_context,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.5283875799038,3.686793311318016,6.0,13.0,806,513.9478010828095,0.1516951322555542,False,,,,3181.212902693005,19278001,813,669,389,0.6276819414242129,557,389,197,75,18
real/reduced_document_context_shallow_seed42/models/minimal_etm,MSnLib validation,42,7043,1000,reduced_document_context_shallow,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.756467281098589,3.536726195386582,6.0,13.0,791,455.3670288570455,0.10416584461927414,False,,,,2474.649217293001,18637201,806,646,353,0.6181530102266797,531,353,172,60,14
real/reduced_evidence_only_seed11/models/minimal_etm,MSnLib validation,11,7012,1000,reduced_evidence_only,not_applicable,False,120,200,800,0.005,0.9,1.2e-06,raw_counts,,0,additive_mixture,emissions,pytorch,9.1039646154753,4.395647531729672,7.0,16.0,623,376.20273833183313,0.43064647912979126,False,,,,4361.032439916002,49001,851,530,327,0.6448858389938045,448,327,196,79,23
